operon_seral_number	operon_start_site	operon_end_site	operon_direction	AS_transcript_start	AS_transcript_end	AS_transcript_direction	number_of_cluster_tss_of_AS	AS_3end_information	AS_length
operon_387	694800	695488	-	685939	686278	+	1	end_in_gene	340
operon_386	685939	694832	+	691950	692260	-	1	end_in_gene	311
operon_386	685939	694832	+	692275	692510	-	1	end_in_gene	236
operon_387	694800	695488	-	693284	693753	+	1	end_in_gene	470
operon_387	694800	695488	-	693860	694403	+	1	end_in_gene	544
operon_386	685939	694832	+	693990	694387	-	1	end_in_gene	398
operon_387	694800	695488	-	695487	695766	+	1	end_as_asRNA_for_next_operon	280
operon_388	695499	697806	-	695805	696198	+	1	end_in_gene	394
operon_388	695499	697806	-	696339	696678	+	1	end_in_gene	340
operon_389	697816	699802	-	697821	698228	+	1	end_in_gene	408
operon_391	700180	701423	+	700822	701341	-	1	end_in_gene	520
operon_392	701433	703220	+	702946	702998	-	1	end_in_gene	53
operon_394	704454	706347	-	704191	704652	+	1	end_in_gene	462
operon_394	704454	706347	-	706077	706650	+	1	end_as_asRNA_for_next_operon	574
operon_396	706942	709524	-	706575	706808	+	1	end_in_gene	234
operon_399	710600	710853	-	710785	710853	+	1	end_coding_next_gene	69
operon_403	717072	717900	-	716413	716868	+	1	end_in_gene	456
operon_405	718702	720019	-	718028	718422	+	1	end_in_gene	395
operon_406	720029	729281	-	724230	724608	+	1	end_in_gene	379
operon_406	720029	729281	-	726869	727199	+	1	end_in_gene	331
operon_406	720029	729281	-	728530	728879	+	1	end_in_gene	350
operon_406	720029	729281	-	729239	729565	+	1	end_as_asRNA_for_next_operon	327
operon_409	731155	731923	+	731155	731182	-	1	end_coding_next_gene	28
operon_410	731933	733358	+	732351	732637	-	1	end_in_gene	287
operon_412	736238	737261	-	734107	734564	+	1	end_in_gene	458
operon_411	733368	736292	+	734193	734416	-	1	end_in_gene	224
operon_412	736238	737261	-	735518	736286	+	1	end_in_gene	769
operon_412	736238	737261	-	736927	737262	+	2	end_as_asRNA_for_next_operon	336
operon_413	737271	738193	-	737746	737977	+	1	end_in_gene	232
operon_415	739252	742620	-	740003	740461	+	1	end_in_gene	459
operon_415	739252	742620	-	740615	741003	+	1	end_in_gene	389
operon_415	739252	742620	-	742592	742988	+	1	end_as_asRNA_for_next_operon	397
operon_418	749254	749932	-	749545	749932	+	1	end_coding_next_gene	388
operon_419	750003	751529	+	750633	750927	-	1	end_in_gene	295
operon_421	752677	753646	-	751539	752018	+	1	end_in_gene	480
operon_421	752677	753646	-	753643	753932	+	1	end_as_asRNA_for_next_operon	290
operon_424	756118	759587	+	758331	758641	-	1	end_in_gene	311
operon_426	767333	769655	-	760745	761182	+	1	end_in_gene	438
operon_426	767333	769655	-	767114	767490	+	1	end_in_gene	377
operon_425	759597	767671	+	767336	767556	-	1	end_in_gene	221
operon_426	767333	769655	-	768234	768779	+	1	end_in_gene	546
operon_426	767333	769655	-	768997	769395	+	1	end_in_gene	399
operon_427	769795	771477	+	770991	771464	-	1	end_in_gene	474
operon_429	775587	778970	-	771487	771972	+	1	end_in_gene	486
operon_429	775587	778970	-	774504	774909	+	1	end_in_gene	406
operon_429	775587	778970	-	774952	775004	+	1	end_in_gene	53
operon_431	779500	780477	-	778993	779565	+	1	end_in_gene	573
operon_438	789173	791277	-	787955	788550	+	1	end_in_gene	596
operon_437	787955	789150	+	788441	788638	-	1	end_in_gene	198
operon_438	789173	791277	-	789573	789889	+	1	end_in_gene	317
operon_438	789173	791277	-	789983	790382	+	1	end_in_gene	400
operon_441	794742	798666	+	794714	795039	-	1	end_as_asRNA_for_next_operon	326
operon_441	794742	798666	+	798054	798106	-	1	end_in_gene	53
operon_441	794742	798666	+	798244	798653	-	1	end_in_gene	410
operon_442	798676	800196	+	798852	799224	-	1	end_in_gene	373
operon_443	800206	806232	+	802497	802573	-	1	end_in_gene	77
operon_444	806304	809888	+	807498	807833	-	1	end_in_gene	336
operon_445	809898	811221	+	809936	810251	-	1	end_in_gene	316
operon_446	811231	815723	+	814652	814979	-	1	end_in_gene	328
operon_448	817547	819677	-	815733	816175	+	1	end_in_gene	443
operon_447	815733	817532	+	816157	816471	-	1	end_in_gene	315
operon_448	817547	819677	-	818985	819280	+	1	end_in_gene	296
operon_449	819687	821481	-	819683	820062	+	2	end_in_gene	380
operon_449	819687	821481	-	820273	820694	+	1	end_in_gene	422
operon_450	821510	822901	+	822328	822617	-	1	end_in_gene	290
operon_452	823607	824700	-	822911	823513	+	1	end_in_gene	603
operon_452	823607	824700	-	823608	823932	+	1	end_in_gene	325
operon_452	823607	824700	-	824018	824430	+	1	end_in_gene	413
operon_453	824717	829824	+	825432	825895	-	1	end_in_gene	464
operon_455	831577	832418	+	832119	832405	-	1	end_in_gene	287
operon_457	833704	834949	-	833878	834268	+	1	end_in_gene	391
operon_463	841669	841921	-	840950	841338	+	1	end_in_gene	389
operon_467	847926	850077	-	848325	848419	+	1	end_in_gene	95
operon_469	850518	850852	-	850667	851252	+	1	end_as_asRNA_for_next_operon	586
operon_471	851550	853818	+	851550	851741	-	1	end_coding_next_gene	192
operon_472	853866	854229	-	851611	852579	+	1	end_in_gene	969
operon_472	853866	854229	-	852615	853431	+	1	end_in_gene	817
operon_473	854239	855898	-	855410	855767	+	1	end_in_gene	358
operon_474	855908	860715	-	856771	857096	+	1	end_in_gene	326
operon_474	855908	860715	-	857512	857837	+	1	end_in_gene	326
operon_474	855908	860715	-	859504	859756	+	1	end_in_gene	253
operon_474	855908	860715	-	860006	860153	+	1	end_in_gene	148
operon_477	865867	868344	-	864589	865218	+	1	end_in_gene	630
operon_477	865867	868344	-	865402	865807	+	1	end_in_gene	406
operon_477	865867	868344	-	867455	867831	+	1	end_in_gene	377
operon_478	868284	868977	+	868284	868347	-	2	end_coding_next_gene	64
operon_479	869043	869766	-	868908	869212	+	1	end_in_gene	305
operon_481	872688	873295	-	871434	871899	+	1	end_in_gene	466
operon_480	870000	872665	+	871721	872107	-	1	end_in_gene	387
operon_482	873346	874176	+	873839	874168	-	1	end_in_gene	330
operon_484	874555	876811	+	876202	876380	-	1	end_in_gene	179
operon_485	876668	878433	-	877226	877595	+	2	end_in_gene	370
operon_488	881053	881717	-	879362	879858	+	1	end_in_gene	497
operon_488	881053	881717	-	880345	880882	+	2	end_in_gene	538
operon_489	881462	882446	+	881462	881717	-	1	end_coding_next_gene	256
operon_489	881462	882446	+	881990	882390	-	1	end_in_gene	401
operon_491	883447	886651	-	883133	883646	+	2	end_in_gene	514
operon_491	883447	886651	-	885396	885842	+	1	end_in_gene	447
operon_491	883447	886651	-	885910	886406	+	2	end_in_gene	497
operon_493	887037	888666	-	888088	888399	+	1	end_in_gene	312
operon_494	889075	890307	+	889668	890013	-	1	end_in_gene	346
operon_495	890317	891465	+	890668	891002	-	1	end_in_gene	335
operon_496	891495	893272	-	891741	892283	+	2	end_in_gene	543
operon_499	894991	895602	-	894634	895104	+	1	end_in_gene	471
operon_500	895784	898785	+	897125	897248	-	1	end_in_gene	124
operon_502	899800	901374	-	899905	900332	+	2	end_in_gene	428
operon_505	903726	904898	+	903877	904212	-	1	end_in_gene	336
operon_509	907305	908120	-	907459	907734	+	1	end_in_gene	276
operon_510	908130	909585	-	909455	909833	+	1	end_as_asRNA_for_next_operon	379
operon_511	909595	910845	-	910035	910409	+	1	end_in_gene	375
operon_513	913515	914202	-	911715	912080	+	1	end_in_gene	366
operon_512	910910	913551	+	912256	912716	-	2	end_in_gene	461
operon_514	914212	918781	-	916244	916563	+	1	end_in_gene	320
operon_515	918791	919639	-	918801	919180	+	2	end_in_gene	380
operon_516	919578	920734	+	919578	919639	-	1	end_coding_next_gene	62
operon_517	920702	921141	-	919735	920066	+	1	end_in_gene	332
operon_521	922888	923714	-	922042	922544	+	1	end_in_gene	503
operon_521	922888	923714	-	923341	923592	+	1	end_in_gene	252
operon_525	927623	930529	-	924991	925313	+	1	end_in_gene	323
operon_527	931610	934034	-	931407	931722	+	1	end_in_gene	316
operon_526	930547	931912	+	931694	932178	-	2	end_in_gene	485
operon_527	931610	934034	-	932202	932560	+	1	end_in_gene	359
operon_527	931610	934034	-	933019	933480	+	1	end_in_gene	462
operon_527	931610	934034	-	933885	934276	+	1	end_as_asRNA_for_next_operon	392
operon_531	937596	940449	+	937953	938243	-	1	end_in_gene	291
operon_532	940405	941125	-	937962	938297	+	1	end_in_gene	336
operon_532	940405	941125	-	938665	939014	+	1	end_in_gene	350
operon_531	937596	940449	+	939614	939943	-	1	end_in_gene	330
operon_534	942480	944292	-	941250	942105	+	1	end_in_gene	856
operon_533	941250	942672	+	941395	941447	-	1	end_in_gene	53
operon_533	941250	942672	+	942515	942681	-	1	end_in_gene	167
operon_534	942480	944292	-	942903	943365	+	2	end_in_gene	463
operon_534	942480	944292	-	943772	944143	+	1	end_in_gene	372
operon_536	947657	948473	-	945264	945682	+	1	end_in_gene	419
operon_536	947657	948473	-	946085	946379	+	1	end_in_gene	295
operon_535	944331	947634	+	946477	946695	-	1	end_in_gene	219
operon_536	947657	948473	-	946540	947445	+	1	end_in_gene	906
operon_538	949408	951125	-	948646	949135	+	2	end_in_gene	490
operon_538	949408	951125	-	950615	950667	+	1	end_in_gene	53
operon_542	953743	954927	-	953279	953796	+	1	end_in_gene	518
operon_542	953743	954927	-	954528	954833	+	1	end_in_gene	306
operon_544	958463	960340	-	958071	958432	+	1	end_in_gene	362
operon_547	964307	965809	-	962683	963162	+	1	end_in_gene	480
operon_548	965819	967751	-	967729	968475	+	1	end_as_asRNA_for_next_operon	747
operon_552	972470	975975	-	971624	971994	+	1	end_in_gene	371
operon_556	980522	981316	-	978937	979346	+	1	end_in_gene	410
operon_556	980522	981316	-	979642	980124	+	1	end_in_gene	483
operon_555	978937	980499	+	980170	980365	-	2	end_in_gene	196
operon_556	980522	981316	-	980412	980760	+	1	end_in_gene	349
operon_556	980522	981316	-	981223	981612	+	1	end_as_asRNA_for_next_operon	390
operon_557	981326	982559	-	981357	981612	+	1	end_in_gene	256
operon_558	982728	985506	+	983301	983656	-	1	end_in_gene	356
operon_558	982728	985506	+	983962	984240	-	1	end_in_gene	279
operon_560	987057	988733	+	987057	987421	-	1	end_coding_next_gene	365
operon_560	987057	988733	+	987836	988280	-	1	end_in_gene	445
operon_563	993032	993743	-	993093	993487	+	1	end_in_gene	395
operon_563	993032	993743	-	993542	993629	+	1	end_in_gene	88
operon_566	996527	999417	+	996824	997355	-	1	end_in_gene	532
operon_566	996527	999417	+	997445	997715	-	1	end_in_gene	271
operon_566	996527	999417	+	999029	999337	-	1	end_in_gene	309
operon_567	999427	1000801	+	999943	1000406	-	1	end_in_gene	464
operon_568	1000780	1002709	-	1001311	1001730	+	1	end_in_gene	420
operon_569	1002767	1003529	+	1002767	1002870	-	1	end_coding_next_gene	104
operon_571	1004497	1006556	-	1004384	1004679	+	1	end_in_gene	296
operon_571	1004497	1006556	-	1005436	1005826	+	1	end_in_gene	391
operon_572	1006566	1008294	-	1006676	1007172	+	2	end_in_gene	497
operon_573	1008210	1014383	+	1008210	1008294	-	1	end_coding_next_gene	85
operon_573	1008210	1014383	+	1014270	1014641	-	1	end_in_gene	372
operon_575	1016699	1019971	-	1015874	1016167	+	1	end_in_gene	294
operon_574	1014646	1016904	+	1016203	1016509	-	1	end_in_gene	307
operon_575	1016699	1019971	-	1016240	1016743	+	1	end_in_gene	504
operon_576	1019981	1021647	-	1019987	1020321	+	1	end_in_gene	335
operon_579	1024404	1025315	+	1024869	1025208	-	1	end_in_gene	340
operon_580	1025303	1025563	-	1024879	1025093	+	1	end_in_gene	215
operon_582	1027099	1027580	+	1027099	1027282	-	1	end_coding_next_gene	184
operon_588	1037927	1040633	-	1035732	1036118	+	1	end_in_gene	387
operon_588	1037927	1040633	-	1037151	1037464	+	1	end_in_gene	314
operon_588	1037927	1040633	-	1037471	1037701	+	1	end_in_gene	231
operon_588	1037927	1040633	-	1038763	1039085	+	1	end_in_gene	323
operon_588	1037927	1040633	-	1039289	1039690	+	1	end_in_gene	402
operon_589	1040643	1041170	-	1040649	1041017	+	1	end_in_gene	369
operon_591	1045236	1046026	-	1041268	1041779	+	1	end_in_gene	512
operon_591	1045236	1046026	-	1042251	1042619	+	1	end_in_gene	369
operon_591	1045236	1046026	-	1043366	1043605	+	1	end_in_gene	240
operon_590	1041268	1045193	+	1043572	1043882	-	1	end_in_gene	311
operon_593	1050360	1051492	-	1046140	1046638	+	1	end_in_gene	499
operon_593	1050360	1051492	-	1048907	1049451	+	2	end_in_gene	545
operon_595	1052364	1052690	+	1052364	1052614	-	2	end_coding_next_gene	251
operon_599	1055022	1056691	-	1054262	1054750	+	1	end_in_gene	489
operon_601	1058262	1060650	+	1058774	1059039	-	1	end_in_gene	266
operon_602	1060589	1061733	-	1060870	1061198	+	1	end_in_gene	329
operon_604	1064059	1064966	-	1062597	1063280	+	1	end_in_gene	684
operon_604	1064059	1064966	-	1063576	1064087	+	1	end_in_gene	512
operon_605	1065081	1067555	+	1066641	1066770	-	1	end_in_gene	130
operon_605	1065081	1067555	+	1067179	1067540	-	3	end_in_gene	362
operon_606	1067565	1069874	+	1067621	1067884	-	1	end_in_gene	264
operon_606	1067565	1069874	+	1068387	1068749	-	1	end_in_gene	363
operon_609	1074083	1074434	+	1073705	1074238	-	2	end_as_asRNA_for_next_operon	534
operon_610	1074435	1077841	-	1074083	1074536	+	2	end_in_gene	454
operon_612	1081698	1090235	-	1078548	1078953	+	1	end_in_gene	406
operon_612	1081698	1090235	-	1081268	1081724	+	1	end_in_gene	457
operon_612	1081698	1090235	-	1081745	1082084	+	1	end_in_gene	340
operon_614	1093158	1094868	-	1094822	1095282	+	1	end_as_asRNA_for_next_operon	461
operon_616	1095073	1096455	-	1096221	1096455	+	1	end_coding_next_gene	235
operon_618	1097366	1098524	+	1097171	1097930	-	2	end_as_asRNA_for_next_operon	760
operon_619	1098534	1101019	+	1099247	1099617	-	1	end_in_gene	371
operon_620	1101019	1101534	-	1099730	1100124	+	1	end_in_gene	395
operon_620	1101019	1101534	-	1100409	1101049	+	2	end_in_gene	641
operon_620	1101019	1101534	-	1101206	1101534	+	1	end_coding_next_gene	329
operon_622	1106290	1107422	-	1104936	1105503	+	1	end_in_gene	568
operon_621	1101784	1106399	+	1106110	1106352	-	1	end_in_gene	243
operon_622	1106290	1107422	-	1106712	1107118	+	1	end_in_gene	407
operon_623	1107432	1108535	-	1107442	1107811	+	2	end_in_gene	370
operon_623	1107432	1108535	-	1108510	1108841	+	1	end_as_asRNA_for_next_operon	332
operon_629	1114738	1115858	+	1114881	1115214	-	1	end_in_gene	334
operon_631	1116539	1117132	-	1115868	1116376	+	1	end_in_gene	509
operon_633	1118407	1120005	-	1117189	1117892	+	1	end_in_gene	704
operon_633	1118407	1120005	-	1118037	1118437	+	1	end_in_gene	401
operon_633	1118407	1120005	-	1119794	1120005	+	1	end_coding_next_gene	212
operon_635	1120893	1124286	-	1120026	1120439	+	1	end_in_gene	414
operon_635	1120893	1124286	-	1121741	1122075	+	1	end_in_gene	335
operon_635	1120893	1124286	-	1123595	1123996	+	1	end_in_gene	402
operon_636	1123595	1125438	+	1123893	1124291	-	2	end_in_gene	399
operon_639	1127959	1130149	+	1127678	1128053	-	1	end_as_asRNA_for_next_operon	376
operon_641	1131486	1133325	+	1131792	1132188	-	2	end_in_gene	397
operon_642	1133270	1134705	-	1132958	1133319	+	1	end_in_gene	362
operon_642	1133270	1134705	-	1133463	1133780	+	1	end_in_gene	318
operon_643	1134715	1136519	-	1134720	1135217	+	1	end_in_gene	498
operon_644	1136529	1138161	-	1136877	1137390	+	1	end_in_gene	514
operon_645	1138253	1142606	+	1142148	1142435	-	1	end_in_gene	288
operon_647	1143703	1144498	+	1144312	1144490	-	1	end_in_gene	179
operon_649	1147992	1151690	-	1146291	1146519	+	1	end_in_gene	229
operon_648	1144508	1148421	+	1147908	1148260	-	2	end_in_gene	353
operon_649	1147992	1151690	-	1149695	1149968	+	1	end_in_gene	274
operon_650	1151730	1156420	+	1153409	1153724	-	1	end_in_gene	316
operon_650	1151730	1156420	+	1155517	1155569	-	1	end_in_gene	53
operon_651	1156436	1158742	-	1155828	1156090	+	1	end_in_gene	263
operon_651	1156436	1158742	-	1156211	1156577	+	1	end_in_gene	367
operon_651	1156436	1158742	-	1156776	1157364	+	2	end_in_gene	589
operon_651	1156436	1158742	-	1157448	1157502	+	1	end_in_gene	55
operon_651	1156436	1158742	-	1157763	1158291	+	2	end_in_gene	529
operon_652	1158752	1160439	-	1160361	1160867	+	1	end_as_asRNA_for_next_operon	507
operon_653	1160448	1164841	-	1160749	1160867	+	1	end_in_gene	119
operon_653	1160448	1164841	-	1161553	1162310	+	2	end_in_gene	758
operon_653	1160448	1164841	-	1163701	1164265	+	2	end_in_gene	565
operon_655	1165695	1166915	-	1165728	1166090	+	1	end_in_gene	363
operon_657	1168568	1169286	-	1167096	1167541	+	1	end_in_gene	446
operon_657	1168568	1169286	-	1168564	1168827	+	1	end_in_gene	264
operon_657	1168568	1169286	-	1168944	1169062	+	1	end_in_gene	119
operon_658	1169428	1171033	+	1169428	1169434	-	1	end_coding_next_gene	7
operon_658	1169428	1171033	+	1170040	1170666	-	1	end_in_gene	627
operon_659	1170685	1172158	-	1170686	1171046	+	1	end_in_gene	361
operon_659	1170685	1172158	-	1171131	1171402	+	1	end_in_gene	272
operon_659	1170685	1172158	-	1172121	1172158	+	1	end_coding_next_gene	38
operon_661	1173801	1174705	-	1172391	1172845	+	1	end_in_gene	455
operon_662	1175184	1176006	+	1175258	1175525	-	1	end_in_gene	268
operon_663	1176127	1176291	-	1176112	1176291	+	2	end_coding_next_gene	180
operon_665	1177211	1178617	+	1177674	1178128	-	1	end_in_gene	455
operon_665	1177211	1178617	+	1178578	1178864	-	1	end_in_gene	287
operon_668	1185755	1186829	-	1182402	1182880	+	1	end_in_gene	479
operon_668	1185755	1186829	-	1183470	1183906	+	1	end_in_gene	437
operon_667	1180646	1185736	+	1183640	1183872	-	1	end_in_gene	233
operon_668	1185755	1186829	-	1184020	1184419	+	1	end_in_gene	400
operon_671	1188408	1196122	-	1187751	1188026	+	1	end_in_gene	276
operon_671	1188408	1196122	-	1195166	1195617	+	1	end_in_gene	452
operon_673	1198097	1199414	-	1197589	1197869	+	1	end_in_gene	281
operon_676	1201722	1203262	+	1202893	1202960	-	1	end_in_gene	68
operon_676	1201722	1203262	+	1202978	1203254	-	1	end_in_gene	277
operon_680	1206496	1209751	+	1207725	1208107	-	1	end_in_gene	383
operon_683	1211522	1215194	+	1213906	1214237	-	1	end_in_gene	332
operon_686	1219088	1220193	-	1217317	1217760	+	1	end_in_gene	444
operon_686	1219088	1220193	-	1219204	1219585	+	1	end_in_gene	382
operon_690	1225275	1228691	-	1224390	1224866	+	1	end_in_gene	477
operon_690	1225275	1228691	-	1225277	1225549	+	1	end_in_gene	273
operon_690	1225275	1228691	-	1225923	1226312	+	1	end_in_gene	390
operon_690	1225275	1228691	-	1227297	1227552	+	1	end_in_gene	256
operon_690	1225275	1228691	-	1228420	1228665	+	1	end_in_gene	246
operon_692	1229399	1231296	-	1228745	1229288	+	1	end_in_gene	544
operon_692	1229399	1231296	-	1229684	1230115	+	1	end_in_gene	432
operon_692	1229399	1231296	-	1230672	1231205	+	2	end_in_gene	534
operon_694	1232841	1234363	-	1231306	1231683	+	1	end_in_gene	378
operon_693	1231306	1232839	+	1232030	1232319	-	1	end_in_gene	290
operon_694	1232841	1234363	-	1233030	1233405	+	1	end_in_gene	376
operon_697	1237207	1238197	-	1236190	1236658	+	1	end_in_gene	469
operon_697	1237207	1238197	-	1236787	1237128	+	1	end_in_gene	342
operon_697	1237207	1238197	-	1237531	1237771	+	1	end_in_gene	241
operon_702	1241971	1243509	-	1242693	1243085	+	2	end_in_gene	393
operon_704	1246166	1247017	-	1245027	1245970	+	1	end_in_gene	944
operon_706	1249341	1251415	-	1247134	1247542	+	1	end_in_gene	409
operon_706	1249341	1251415	-	1248232	1248284	+	1	end_in_gene	53
operon_706	1249341	1251415	-	1249636	1249889	+	1	end_in_gene	254
operon_710	1259070	1261714	-	1254635	1255106	+	1	end_in_gene	472
operon_710	1259070	1261714	-	1257218	1257839	+	2	end_in_gene	622
operon_710	1259070	1261714	-	1258017	1258434	+	1	end_in_gene	418
operon_710	1259070	1261714	-	1261213	1261613	+	1	end_in_gene	401
operon_711	1261213	1262267	+	1261295	1261714	-	1	end_in_gene	420
operon_712	1262193	1264133	-	1262173	1262243	+	1	end_in_gene	71
operon_712	1262193	1264133	-	1263716	1264008	+	1	end_in_gene	293
operon_713	1264319	1265082	+	1264319	1264330	-	1	end_coding_next_gene	12
operon_714	1264962	1267035	-	1264614	1265029	+	2	end_in_gene	416
operon_714	1264962	1267035	-	1265855	1266175	+	1	end_in_gene	321
operon_716	1268210	1269016	-	1267846	1268277	+	1	end_in_gene	432
operon_716	1268210	1269016	-	1268592	1268862	+	1	end_in_gene	271
operon_717	1269026	1269964	-	1269670	1269934	+	1	end_in_gene	265
operon_718	1269941	1272031	+	1269941	1269964	-	1	end_coding_next_gene	24
operon_719	1271923	1272174	-	1270071	1270630	+	1	end_in_gene	560
operon_721	1274160	1276295	+	1274246	1274524	-	1	end_in_gene	279
operon_721	1274160	1276295	+	1275566	1275998	-	2	end_in_gene	433
operon_722	1275565	1279622	-	1276017	1276768	+	2	end_in_gene	752
operon_722	1275565	1279622	-	1276791	1277082	+	1	end_in_gene	292
operon_722	1275565	1279622	-	1277898	1278361	+	2	end_in_gene	464
operon_722	1275565	1279622	-	1278560	1278737	+	1	end_in_gene	178
operon_724	1280035	1281489	-	1279660	1280174	+	1	end_in_gene	515
operon_724	1280035	1281489	-	1280750	1281107	+	1	end_in_gene	358
operon_724	1280035	1281489	-	1281434	1281972	+	1	end_as_asRNA_for_next_operon	539
operon_727	1282908	1284895	-	1282311	1282785	+	1	end_in_gene	475
operon_729	1286302	1286575	-	1285054	1285555	+	1	end_in_gene	502
operon_731	1287129	1296131	+	1289098	1289532	-	1	end_in_gene	435
operon_731	1287129	1296131	+	1290178	1290410	-	2	end_in_gene	233
operon_731	1287129	1296131	+	1291859	1292100	-	1	end_in_gene	242
operon_732	1296141	1298082	+	1296218	1296654	-	1	end_in_gene	437
operon_733	1298074	1298967	-	1296234	1296488	+	1	end_in_gene	255
operon_733	1298074	1298967	-	1298187	1298525	+	1	end_in_gene	339
operon_734	1298977	1300224	-	1299413	1299662	+	1	end_in_gene	250
operon_735	1300168	1301221	+	1300168	1300224	-	1	end_coding_next_gene	57
operon_735	1300168	1301221	+	1300663	1301101	-	1	end_in_gene	439
operon_736	1301231	1301750	+	1301099	1301261	-	1	end_as_asRNA_for_next_operon	163
operon_738	1302860	1305664	+	1302860	1302898	-	1	end_coding_next_gene	39
operon_738	1302860	1305664	+	1303429	1303746	-	1	end_in_gene	318
operon_738	1302860	1305664	+	1304236	1304573	-	1	end_in_gene	338
operon_738	1302860	1305664	+	1304758	1305093	-	1	end_in_gene	336
operon_739	1305516	1306079	-	1305070	1305669	+	1	end_in_gene	600
operon_740	1306089	1308797	-	1306561	1306613	+	1	end_in_gene	53
operon_740	1306089	1308797	-	1306787	1307156	+	1	end_in_gene	370
operon_742	1310467	1313308	-	1309686	1310093	+	1	end_in_gene	408
operon_742	1310467	1313308	-	1311799	1312217	+	1	end_in_gene	419
operon_744	1316324	1321293	+	1320840	1321264	-	1	end_in_gene	425
operon_746	1324544	1325693	-	1323209	1323871	+	1	end_in_gene	663
operon_746	1324544	1325693	-	1324544	1324915	+	1	end_in_gene	372
operon_746	1324544	1325693	-	1325023	1325321	+	1	end_in_gene	299
operon_747	1325703	1327520	-	1326133	1326522	+	1	end_in_gene	390
operon_747	1325703	1327520	-	1326559	1327418	+	1	end_in_gene	860
operon_748	1327530	1329313	-	1327539	1327945	+	1	end_in_gene	407
operon_752	1333937	1334935	+	1333540	1334104	-	1	end_as_asRNA_for_next_operon	565
operon_751	1332182	1333927	+	1333584	1333917	-	1	end_in_gene	334
operon_752	1333937	1334935	+	1334310	1334569	-	1	end_in_gene	260
operon_754	1337231	1338520	-	1334945	1335509	+	1	end_in_gene	565
operon_754	1337231	1338520	-	1335800	1336065	+	1	end_in_gene	266
operon_754	1337231	1338520	-	1337276	1337718	+	1	end_in_gene	443
operon_755	1338895	1340979	+	1338895	1338957	-	1	end_coding_next_gene	63
operon_758	1342605	1344212	+	1342605	1342987	-	1	end_coding_next_gene	383
operon_759	1344235	1345168	-	1343741	1344249	+	1	end_in_gene	509
operon_758	1342605	1344212	+	1344078	1344144	-	1	end_in_gene	67
operon_761	1346340	1347112	-	1345266	1346033	+	1	end_in_gene	768
operon_762	1347122	1348737	-	1348725	1348737	+	1	end_coding_next_gene	13
operon_765	1351752	1353152	+	1352032	1352209	-	1	end_in_gene	178
operon_770	1357171	1357662	-	1355842	1356340	+	1	end_in_gene	499
operon_770	1357171	1357662	-	1356709	1357120	+	1	end_in_gene	412
operon_771	1357672	1359451	-	1357680	1358070	+	1	end_in_gene	391
operon_771	1357672	1359451	-	1359165	1359533	+	1	end_as_asRNA_for_next_operon	369
operon_772	1359461	1363367	-	1363110	1363494	+	1	end_as_asRNA_for_next_operon	385
operon_774	1364482	1365305	+	1364482	1364765	-	1	end_coding_next_gene	284
operon_776	1367874	1368722	-	1365896	1366284	+	1	end_in_gene	389
operon_775	1365315	1367887	+	1366679	1367023	-	1	end_in_gene	345
operon_776	1367874	1368722	-	1367478	1367877	+	1	end_in_gene	400
operon_778	1370926	1371768	+	1370957	1371232	-	1	end_in_gene	276
operon_779	1371493	1372929	-	1371244	1371461	+	1	end_in_gene	218
operon_778	1370926	1371768	+	1371501	1371773	-	2	end_in_gene	273
operon_779	1371493	1372929	-	1372460	1372819	+	1	end_in_gene	360
operon_780	1372939	1374276	-	1373068	1373259	+	1	end_in_gene	192
operon_781	1374286	1376834	-	1374610	1374953	+	1	end_in_gene	344
operon_781	1374286	1376834	-	1376331	1376383	+	1	end_in_gene	53
operon_781	1374286	1376834	-	1376554	1377459	+	1	end_as_asRNA_for_next_operon	906
operon_784	1381881	1383083	-	1380845	1381431	+	1	end_in_gene	587
operon_787	1384982	1386683	-	1384284	1384701	+	1	end_in_gene	418
operon_788	1386816	1387794	+	1387210	1387553	-	1	end_in_gene	344
operon_789	1387733	1388659	-	1388429	1388822	+	1	end_as_asRNA_for_next_operon	394
operon_791	1390162	1393148	-	1392021	1392760	+	1	end_in_gene	740
operon_792	1393158	1394101	-	1393533	1393774	+	1	end_in_gene	242
operon_792	1393158	1394101	-	1393776	1393919	+	1	end_in_gene	144
operon_792	1393158	1394101	-	1394096	1394101	+	1	end_coding_next_gene	6
operon_793	1394185	1395817	+	1394666	1395011	-	1	end_in_gene	346
operon_794	1395934	1400397	-	1395177	1395508	+	1	end_in_gene	332
operon_794	1395934	1400397	-	1395534	1395778	+	1	end_in_gene	245
operon_794	1395934	1400397	-	1399972	1400790	+	1	end_as_asRNA_for_next_operon	819
operon_795	1399972	1402774	+	1400092	1400397	-	1	end_in_gene	306
operon_796	1402825	1406092	-	1400412	1400804	+	1	end_in_gene	393
operon_796	1402825	1406092	-	1401529	1401581	+	1	end_in_gene	53
operon_796	1402825	1406092	-	1403866	1404248	+	1	end_in_gene	383
operon_796	1402825	1406092	-	1404649	1405019	+	1	end_in_gene	371
operon_800	1409374	1409941	-	1408855	1409241	+	1	end_in_gene	387
operon_803	1411998	1413367	+	1412882	1413231	-	1	end_in_gene	350
operon_805	1413956	1415872	-	1413377	1414037	+	1	end_in_gene	661
operon_805	1413956	1415872	-	1414734	1415024	+	1	end_in_gene	291
operon_807	1417412	1419782	-	1417534	1417923	+	1	end_in_gene	390
