TR_name	start_site	direction	TR_type	End_of_primary_data	actual_end_of_primary_data	min_of_primary_data	max_of_primary_data	End_of_total_data	actual_End_of_total_data	min_of_total_data	max_of_total_data
TR_822911	822911	+	in_gene_sense	823851	823776	823707	823841	823964	824094	823954	824464
TR_824019	824019	+	antisense_in_gene	824485	824477	824447	824514	824453	824490	824443	824541
TR_824718	824718	+	upstream_sense	826128	825521	825361	825633	827473	827509	826781	827790
TR_825893	825893	-	antisense_in_gene	825307	825373	825317	825435	825366	825284	825135	825376
TR_826040	826040	-	antisense_in_gene	825903	825651	825316	825913	825903	825724	825157	825913
TR_827424	827424	+	sense_for_next	828079	827964	827893	828005	828079	827805	827805	827805
TR_830027	830027	+	upstream_sense	830630	830644	830496	830794	831664	831141	831033	831179
TR_831443	831443	+	sense_for_next	832418	832349	832219	832408	832418	832945	832408	833223
TR_832428	832428	+	upstream_sense	833511	833033	832890	833099	833511	833147	833147	833147
TR_834949	834949	-	leaderless_sense	833889	834292	834200	834393	833889	833977	833831	834131
TR_835658	835658	+	sense_for_next	838055	836078	836034	836113	838055	836619	835955	838270
TR_838378	838378	+	upstream_sense	840859	838751	838741	838766	840859	838968	838735	839234
TR_840950	840950	+	leaderless_sense	841659	841422	841366	841497	841659	841582	841423	841637
TR_841919	841919	-	upstream_sense	841509	841520	841489	841538	841516	841441	841259	841603
TR_842032	842032	+	upstream_sense	842358	842348	842348	842349	842359	842349	842348	842350
TR_843351	843351	-	sense_for_next	842350	842713	842608	842933	0	0	0	0
TR_845996	845996	-	upstream_sense	844424	845496	845442	845565	842350	842401	842364	842438
TR_846017	846017	+	upstream_sense	847916	846834	846761	846915	847916	847617	847095	848028
TR_848325	848325	+	antisense_in_gene	848665	848651	848485	848787	848414	848500	848325	848709
TR_850076	850076	-	upstream_sense	848106	849579	849436	849642	848106	849416	849358	849529
TR_850508	850508	-	in_gene_sense	850140	850165	850139	850193	850214	850170	850136	850224
TR_850667	850667	+	antisense_in_gene	851418	851367	851259	851531	851541	852765	851531	854051
TR_850851	850851	-	sense_for_next	850345	850528	850528	850528	0	0	0	0
TR_851551	851551	+	upstream_sense	853856	852561	852498	852593	853899	853953	853889	854018
TR_851740	851740	-	antisense_in_gene	850971	851404	850981	851489	851479	851008	850528	851489
TR_852615	852615	+	in_gene_sense	853475	853556	852952	853981	0	0	0	0
TR_852686	852686	-	antisense_in_gene	852340	852355	852347	852383	852376	852350	852320	852386
TR_854299	854299	-	sense_for_next	853721	853739	853728	853762	853709	853710	853701	853719
TR_855410	855410	+	antisense_in_gene	855832	855813	855788	855823	855830	855877	855820	855980
TR_855895	855895	-	upstream_sense	854702	855236	855116	855372	854702	854229	853744	854959
TR_857512	857512	+	antisense_in_gene	857925	858084	857821	858509	857816	858038	857780	858507
TR_859984	859984	-	in_gene_sense	859384	859472	859359	859591	855984	855994	855994	855994
TR_860006	860006	+	antisense_in_gene	860336	860413	860283	860684	860016	860091	860006	860285
TR_860713	860713	-	leaderless_sense	858867	860143	860041	860333	858867	857543	856723	860004
TR_860872	860872	+	upstream_sense	862384	861455	861402	861513	864146	863996	863533	864569
TR_862700	862700	+	in_gene_sense	863337	863300	863152	863445	0	0	0	0
TR_864589	864589	+	leaderless_sense	865857	865033	864796	865328	865918	865960	865798	866071
TR_864816	864816	+	in_gene_sense	865305	865329	865295	865366	0	0	0	0
TR_865402	865402	+	antisense_for_next	865949	865927	865804	866096	0	0	0	0
TR_866595	866595	-	antisense_for_next	865906	865767	864677	866297	865885	865804	865686	865895
TR_867456	867456	+	antisense_in_gene	867968	867892	867821	867984	867921	868069	867883	868263
TR_868283	868283	+	antisense_in_gene	868796	868780	868748	868802	868773	869006	868763	869262
TR_868342	868342	-	leaderless_sense	867443	867774	867673	867869	867443	867333	867128	867769
TR_868908	868908	+	antisense_for_next	869276	869296	869219	869390	869322	869327	869312	869342
TR_869766	869766	-	leaderless_sense	868987	869281	869238	869399	868987	869114	868767	869530
TR_870000	870000	+	upstream_sense	871429	870694	870536	870767	871429	871547	871084	871857
TR_871434	871434	+	leaderless_sense	872678	872071	871917	872197	872834	872800	872777	872824
TR_872105	872105	-	antisense_in_gene	871721	871723	871696	871735	871758	871695	871632	871768
TR_873346	873346	+	leaderless_sense	874239	873820	873700	873954	874239	874913	873951	875296
TR_874167	874167	-	antisense_in_gene	873695	873768	873669	873840	873883	873788	873683	873893
TR_874187	874187	+	sense_for_next	874946	874535	874535	874535	876393	875128	875128	875128
TR_874555	874555	+	in_gene_sense	875005	875020	874950	875058	0	0	0	0
TR_877226	877226	+	antisense_in_gene	877875	877813	877653	877868	877236	877881	877226	878359
TR_878431	878431	-	leaderless_sense	876821	877930	877884	878008	876821	877567	877176	878006
TR_878623	878623	+	upstream_sense	879327	879014	878716	879760	881043	878992	878716	879823
TR_878736	878736	+	in_gene_sense	879205	879226	879158	879285	880095	879816	879231	880132
TR_879364	879364	+	in_gene_sense	879962	879928	879900	879955	880335	880325	880325	880325
TR_880345	880345	+	antisense_for_next	881248	881134	880977	881247	881211	881339	881201	881552
TR_881716	881716	-	antisense_in_gene	880958	881018	880968	881088	880966	880939	880865	881018
TR_882390	882390	-	antisense_in_gene	881979	881987	881975	881994	882025	881974	881887	882035
TR_882457	882457	+	upstream_sense	883437	883184	883008	883256	883437	883712	883256	883915
TR_883134	883134	+	antisense_for_next	883266	883256	883256	883256	0	0	0	0
TR_883276	883276	+	antisense_for_next	883712	883704	883670	883730	883750	883740	883740	883740
TR_883927	883927	-	not_known	883297	883353	883296	883433	883303	883280	883251	883313
TR_885395	885395	+	antisense_in_gene	885885	885869	885835	885889	885849	886007	885839	886063
TR_885909	885909	+	antisense_in_gene	886073	886241	886063	886420	886073	886063	886063	886063
TR_886083	886083	+	antisense_in_gene	886471	886445	886437	886461	886439	886464	886412	886514
TR_886649	886649	-	leaderless_sense	885840	886073	886015	886142	884075	884165	883277	885316
TR_886882	886882	-	antisense_in_gene	886659	886682	886669	886707	886722	886700	886669	886732
TR_888088	888088	+	antisense_in_gene	888491	888439	888359	888504	888308	888270	888088	888359
TR_888665	888665	-	upstream_sense	887140	888070	888024	888148	887140	887298	886732	888077
TR_890317	890317	+	sense_for_next	891485	890795	890678	890896	891485	890727	890621	890812
TR_891002	891002	-	antisense_in_gene	890580	890633	890567	890761	890587	890579	890510	890679
TR_891741	891741	+	antisense_in_gene	892405	892362	892330	892395	891751	892242	891741	892513
TR_893270	893270	-	leaderless_sense	892269	892686	892584	892751	891226	891223	891184	891238
TR_893321	893321	+	leaderless_sense	894622	893905	893825	893993	894622	894274	893775	894614
TR_894634	894634	+	leaderless_sense	895178	895148	895113	895168	895150	895164	895140	895181
TR_895631	895631	-	leaderless_sense	894975	895151	895050	895541	894975	895106	894890	895541
TR_895784	895784	+	upstream_sense	898087	896472	896317	896803	898724	898759	898714	898775
TR_898795	898795	+	upstream_sense	899790	899508	899336	899700	899988	900176	899978	900283
TR_899980	899980	-	antisense_for_next	899473	899466	899380	899543	899524	899420	899294	899534
TR_901433	901433	-	upstream_sense	899735	900854	900703	900964	899735	900119	899349	900616
TR_901638	901638	+	leaderless_sense	903697	902113	902113	902113	903697	902113	902113	902113
TR_902133	902133	+	leaderless_sense	903697	902585	902529	902613	903697	903712	902905	904530
TR_903727	903727	+	upstream_sense	904822	904393	904257	904448	904891	904896	904869	904939
TR_904210	904210	-	antisense_in_gene	903860	903881	903861	903913	903794	903755	903691	903806
TR_905166	905166	-	upstream_sense	904727	904760	904737	904794	904756	904708	904664	904766
TR_906343	906343	-	leaderless_sense	905237	905737	905549	905819	905176	905186	905186	905186
TR_906406	906406	+	upstream_sense	907295	907076	907020	907122	907295	907332	907112	907653
TR_907459	907459	+	antisense_in_gene	907771	907766	907742	907788	907746	907805	907736	907901
TR_908116	908116	-	upstream_sense	907341	907444	907326	907577	0	0	0	0
TR_909372	909372	+	down_stream_antisense	909910	909925	909876	910015	909830	909769	909372	909968
TR_909584	909584	-	upstream_sense	908488	909018	908929	909132	907341	907360	907210	907690
TR_910035	910035	+	antisense_in_gene	910713	910595	910479	910744	910339	910543	910329	910767
TR_910839	910839	-	leaderless_sense	910033	910329	910157	910443	910033	909833	909604	910500
TR_910910	910910	+	upstream_sense	911742	911501	911420	911605	912686	912497	912100	912747
TR_911715	911715	+	sense_for_next	912686	912137	912109	912204	0	0	0	0
TR_912607	912607	-	antisense_in_gene	912118	912082	911944	912254	912072	912045	912000	912082
TR_914202	914202	-	leaderless_sense	913561	913653	913603	913697	913313	913307	913227	913355
TR_916426	916426	-	upstream_sense	914260	916069	915879	916127	914260	916108	916052	916178
TR_917928	917928	-	sense_for_next	916480	917522	917479	917560	0	0	0	0
TR_918783	918783	-	upstream_sense	917737	918049	917799	918221	916480	917338	917191	917431
TR_918823	918823	+	down_stream_antisense	919291	919284	919240	919339	919249	919332	919239	919413
TR_919578	919578	+	upstream_sense	920692	920186	920111	920254	920692	920384	920150	920620
TR_919636	919636	-	upstream_sense	918915	919062	918863	919153	918915	918887	918803	919098
TR_921136	921136	-	leaderless_sense	920510	920582	920520	920639	920464	920401	920358	920474
TR_921938	921938	+	upstream_sense	922878	922710	922623	922862	922990	923408	922980	923681
TR_923341	923341	+	antisense_in_gene	923637	923684	923623	923918	923880	923894	923870	923918
TR_923712	923712	-	leaderless_sense	922707	922864	922717	923078	922677	922640	922612	922687
TR_923938	923938	+	upstream_sense	924352	924371	924267	924479	924470	925073	924460	925729
TR_924877	924877	+	upstream_sense	925367	924972	924972	924972	925367	925137	924972	925303
TR_924992	924992	+	in_gene_sense	925411	925388	925300	925449	925283	925273	925273	925273
TR_927935	927935	-	antisense_for_next	927501	927510	927507	927519	927512	927515	927508	927522
TR_930529	930529	-	upstream_sense	927840	929961	929898	930041	927840	929807	929566	929909
TR_930547	930547	+	upstream_sense	931600	931207	930775	931335	931600	931927	931394	932182
TR_931407	931407	+	antisense_for_next	931925	931850	931749	931961	931839	931829	931829	931829
TR_932178	932178	-	down_stream_antisense	931713	931701	931623	931791	931795	931676	931523	931805
TR_932202	932202	+	down_stream_antisense	932595	932596	932568	932660	932592	932707	932582	932852
TR_933019	933019	+	antisense_in_gene	933580	933575	933569	933587	933538	933581	933528	933629
TR_934723	934723	+	leaderless_sense	935493	935349	935237	935534	936495	935771	935534	936485
TR_935443	935443	+	sense_for_next	935544	935534	935534	935534	0	0	0	0
TR_935554	935554	+	upstream_sense	936392	936029	935941	936091	936940	936886	936860	936930
TR_937962	937962	+	upstream_sense	939407	938353	938161	938485	939407	938539	937988	939789
TR_938242	938242	-	antisense_in_gene	937941	937949	937946	937954	937928	937891	937843	937939
TR_938665	938665	+	in_gene_sense	939191	939277	939090	939544	939563	939834	939553	940367
TR_939943	939943	-	antisense_in_gene	939552	939578	939542	939626	939553	939598	939548	939683
TR_941123	941123	-	upstream_sense	940459	940573	940496	940677	940459	940477	940349	940638
TR_941250	941250	+	in_gene_sense	942201	941990	941661	942191	942456	942581	942446	942656
TR_942903	942903	+	antisense_in_gene	943411	943397	943368	943421	943350	943431	943340	943508
TR_944305	944305	-	upstream_sense	942683	943762	943725	943795	942683	943386	943124	943676
TR_944331	944331	+	upstream_sense	944872	944853	944796	944870	947318	946098	945707	947104
TR_945264	945264	+	in_gene_sense	945698	945792	945661	946027	0	0	0	0
TR_948471	948471	-	leaderless_sense	947644	948001	947969	948039	947644	947898	947737	948037
TR_948646	948646	+	in_gene_sense	949424	949412	949305	949565	949602	949800	949592	950007
TR_951121	951121	-	leaderless_sense	949439	950486	950299	950676	949149	948935	948783	949159
TR_951186	951186	+	leaderless_sense	952714	951921	951760	952077	952719	952741	952709	952752
TR_952772	952772	+	upstream_sense	953733	953260	953260	953260	953908	953753	953260	953929
TR_953280	953280	+	in_gene_sense	953850	953830	953789	953847	953900	953890	953890	953890
TR_954528	954528	+	antisense_in_gene	954925	954911	954854	954944	954831	954886	954821	954953
TR_954923	954923	-	leaderless_sense	953730	954522	954444	954573	953730	954027	953391	954724
TR_955014	955014	+	upstream_sense	956291	955801	955647	955919	958514	958504	958504	958504
TR_960336	960336	-	upstream_sense	958526	959824	959700	959899	958470	958480	958480	958480
TR_960457	960457	+	antisense_in_gene	960819	960779	960722	960824	960467	960588	960457	960721
TR_962616	962616	-	antisense_in_gene	962124	962146	962030	962214	960975	959648	958626	960985
TR_962683	962683	+	in_gene_sense	963345	963301	963229	963362	963661	963713	963565	964036
TR_965809	965809	-	upstream_sense	964315	965294	965258	965345	964315	965183	965079	965310
TR_967729	967729	+	antisense_in_gene	968453	968439	968405	968471	968466	968472	968456	968489
TR_967751	967751	-	upstream_sense	966268	967237	967148	967295	966268	966660	966230	967022
TR_970285	970285	-	upstream_sense	968427	969574	969426	969731	968427	968951	968326	969291
TR_970458	970458	+	upstream_sense	972460	971142	971032	971313	972766	972865	972653	973050
TR_973067	973067	-	antisense_for_next	972641	972641	972578	972664	972674	972582	972498	972684
TR_973709	973709	-	leaderless_sense	972549	973298	973231	973321	972549	972984	972612	973356
TR_975973	975973	-	upstream_sense	974294	975506	975469	975557	973809	973650	973446	973839
TR_976057	976057	+	upstream_sense	976964	976847	976661	976954	976889	976955	976879	977004
TR_978762	978762	-	upstream_sense	978218	978217	978176	978297	976875	978119	977996	978207
TR_978920	978920	+	upstream_sense	980231	979479	979388	979609	980231	979821	979355	980690
TR_979643	979643	+	in_gene_sense	980263	980241	980170	980312	980723	980716	980687	980748
TR_981223	981223	+	antisense_in_gene	981785	981700	981638	981775	981552	981587	981542	981609
TR_981314	981314	-	upstream_sense	980509	980742	980704	980811	980509	980541	980440	980787
TR_982557	982557	-	leaderless_sense	981427	981970	981915	982034	981427	981537	981334	981873
TR_982641	982641	+	upstream_sense	983787	983405	983312	983462	982651	983562	982641	983929
TR_983654	983654	-	antisense_in_gene	983208	983245	983213	983302	983295	983209	983118	983305
TR_987057	987057	+	upstream_sense	988708	987577	987537	987602	988708	988283	987635	988912
TR_987164	987164	-	upstream_sense	986784	986843	986794	986905	986895	986792	986698	986905
TR_988279	988279	-	antisense_in_gene	987720	987764	987724	987812	987533	987420	987269	987543
TR_989888	989888	-	upstream_sense	988743	989347	989303	989374	988743	988910	988654	989157
TR_993021	993021	-	sense_for_next	989951	992633	992594	992674	0	0	0	0
TR_993093	993093	+	antisense_in_gene	993719	993644	993429	993784	993437	993371	993286	993427
TR_993322	993322	-	in_gene_sense	993031	992830	992577	993041	992480	992119	991671	992490
TR_993742	993742	-	upstream_sense	992601	993352	993342	993403	992601	993398	993342	993468
TR_993804	993804	+	upstream_sense	995343	994649	994464	994917	995533	995671	995523	995766
TR_996298	996298	-	leaderless_sense	995321	995816	995779	995845	995201	995347	995169	995809
TR_997353	997353	-	antisense_in_gene	996679	996682	996584	996796	996867	996482	996318	996877
TR_997713	997713	-	down_stream_antisense	997461	997451	997422	997473	997474	997432	997373	997484
TR_999427	999427	+	upstream_sense	1000770	1000027	999952	1000165	1000827	1000817	1000817	1000818
TR_1001311	1001311	+	antisense_in_gene	1001750	1001768	1001726	1001865	1001880	1001874	1001771	1001933
TR_1002707	1002707	-	leaderless_sense	1000811	1002290	1002277	1002334	1000811	1001861	1000834	1002236
TR_1002767	1002767	+	upstream_sense	1003795	1003382	1003340	1003445	1003795	1003457	1003366	1003496
TR_1002870	1002870	-	antisense_in_gene	1002717	1002727	1002727	1002727	1002717	1002727	1002727	1002727
TR_1003516	1003516	+	sense_for_next	1004487	1004194	1004109	1004290	1004487	1004552	1004287	1004837
TR_1004384	1004384	+	antisense_for_next	1004876	1004803	1004735	1004892	1004695	1004739	1004685	1004794
TR_1005437	1005437	+	antisense_in_gene	1005877	1005895	1005867	1005923	1005978	1005988	1005913	1006047
TR_1006556	1006556	-	leaderless_sense	1004504	1005836	1005778	1005944	1004504	1005516	1005395	1005723
TR_1006676	1006676	+	down_stream_antisense	1007188	1007191	1007172	1007221	1007147	1007174	1007102	1007239
TR_1007594	1007594	-	in_gene_sense	1007118	1007110	1007049	1007128	1007147	1007079	1006983	1007186
TR_1008210	1008210	+	leaderless_sense	1010065	1008943	1008848	1009005	1010065	1010741	1009603	1012200
TR_1008292	1008292	-	antisense_in_gene	1007762	1007940	1007772	1008203	1008193	1007850	1007614	1008203
TR_1010158	1010158	+	in_gene_sense	1011002	1011030	1010737	1011695	1014158	1014148	1014148	1014148
TR_1014639	1014639	-	down_stream_antisense	1014216	1014262	1014226	1014312	1014226	1014189	1014138	1014236
TR_1014646	1014646	+	upstream_sense	1015304	1015254	1015115	1015321	1016175	1015565	1015413	1015764
TR_1015874	1015874	+	sense_for_next	1016230	1016218	1016208	1016220	1016885	1017031	1016875	1017126
TR_1016240	1016240	+	leaderless_sense	1017022	1016850	1016764	1017012	0	0	0	0
TR_1016508	1016508	-	antisense_in_gene	1016203	1016213	1016202	1016232	1016271	1015835	1015178	1016281
TR_1017582	1017582	-	antisense_for_next	1017053	1017115	1017063	1017185	1017173	1016636	1016250	1017183
TR_1019969	1019969	-	leaderless_sense	1018731	1019570	1019549	1019582	1018731	1019548	1019456	1019665
TR_1019987	1019987	+	down_stream_antisense	1020358	1020358	1020274	1020439	1020118	1020258	1020108	1020349
TR_1021689	1021689	-	upstream_sense	1020062	1021113	1021018	1021190	1020062	1020615	1020152	1021186
TR_1022032	1022032	+	upstream_sense	1023872	1022792	1022692	1022927	1023872	1023208	1023208	1023208
TR_1023228	1023228	+	sense_for_next	1023872	1023722	1023636	1023788	1023872	1023845	1023627	1024043
TR_1024363	1024363	-	antisense_in_gene	1024001	1024017	1023995	1024042	1024047	1023912	1023636	1024057
TR_1024404	1024404	+	in_gene_sense	1025132	1025067	1024949	1025143	1025192	1025173	1025131	1025225
TR_1025207	1025207	-	down_stream_antisense	1024845	1024881	1024855	1024905	1024836	1024846	1024846	1024846
TR_1025561	1025561	-	sense_for_next	1025322	1025331	1025331	1025332	1025314	1024946	1024733	1025324
TR_1025743	1025743	-	sense_for_next	1025501	1025581	1025581	1025581	1025501	1025581	1025581	1025581
TR_1026965	1026965	-	upstream_sense	1025501	1026447	1026363	1026526	1025501	1025929	1025581	1026463
TR_1027099	1027099	+	upstream_sense	1027689	1027704	1027436	1028086	1027689	1027536	1027436	1027570
TR_1027282	1027282	-	antisense_in_gene	1027067	1027027	1026985	1027082	1026996	1027068	1027006	1027118
TR_1027590	1027590	+	sense_for_next	1029341	1028168	1028110	1028281	1030230	1029649	1028614	1030220
TR_1029547	1029547	-	antisense_for_next	1029127	1029137	1029110	1029155	1029112	1029122	1029122	1029122
TR_1030615	1030615	-	sense_for_next	1029517	1030058	1030037	1030108	1029517	1029229	1029058	1029567
TR_1031837	1031837	-	in_gene_sense	1031414	1031449	1031404	1031539	0	0	0	0
TR_1032715	1032715	-	sense_for_next	1031873	1031879	1031470	1032098	1030582	1031532	1031405	1031641
TR_1033294	1033294	-	in_gene_sense	1032931	1032919	1032894	1032946	1032863	1032789	1032735	1032873
TR_1034855	1034855	+	upstream_sense	1036019	1035512	1035417	1035594	1037917	1037787	1037131	1038442
TR_1037151	1037151	+	in_gene_sense	1037755	1037730	1037692	1037757	1038200	1038190	1038190	1038190
TR_1038520	1038520	-	antisense_for_next	1037783	1037870	1037692	1038116	1037563	1037498	1037403	1037573
TR_1038764	1038764	+	antisense_in_gene	1039174	1039146	1039094	1039192	1039166	1039179	1039156	1039205
TR_1039289	1039289	+	antisense_in_gene	1039890	1039789	1039540	1039880	1039789	1039783	1039779	1039787
TR_1040630	1040630	-	in_gene_sense	1040000	1040013	1039879	1040105	1039572	1039582	1039582	1039582
TR_1040649	1040649	+	antisense_in_gene	1041069	1041041	1041020	1041059	1041058	1041151	1041048	1041248
TR_1041169	1041169	-	upstream_sense	1039940	1040678	1040650	1040722	1037924	1039790	1039275	1040650
TR_1041268	1041268	+	leaderless_sense	1042098	1042000	1041848	1042118	1045226	1044964	1044544	1045160
TR_1042251	1042251	+	in_gene_sense	1043200	1043134	1042705	1043778	0	0	0	0
TR_1043881	1043881	-	antisense_in_gene	1043570	1043553	1043489	1043587	1043454	1043283	1042996	1043464
TR_1046036	1046036	-	upstream_sense	1045203	1045403	1045262	1045596	1045046	1045005	1044954	1045056
TR_1046140	1046140	+	leaderless_sense	1048419	1046785	1046690	1046849	1050350	1049040	1049040	1049040
TR_1049060	1049060	+	in_gene_sense	1049513	1049499	1049485	1049507	1049535	1050014	1049525	1050469
TR_1051490	1051490	-	upstream_sense	1050597	1051009	1050951	1051096	1050479	1050504	1050487	1050553
TR_1052533	1052533	+	antisense_for_next	1053262	1052999	1052533	1053252	1052988	1053059	1052978	1053152
TR_1052611	1052611	-	antisense_in_gene	1051981	1051965	1051947	1051991	0	0	0	0
TR_1053245	1053245	-	in_gene_sense	1053003	1052685	1052374	1053020	1052364	1052374	1052374	1052374
TR_1053928	1053928	+	in_gene_sense	1054252	1054242	1054242	1054242	1054252	1054242	1054242	1054242
TR_1054262	1054262	+	leaderless_sense	1055012	1054920	1054790	1055045	1055021	1055083	1055011	1055137
TR_1056689	1056689	-	leaderless_sense	1055028	1056134	1056015	1056204	1055028	1055177	1054778	1055730
TR_1058097	1058097	-	upstream_sense	1057454	1057509	1057463	1057568	1057451	1057427	1057373	1057461
TR_1058261	1058261	+	upstream_sense	1060579	1058953	1058844	1059090	1060678	1060713	1060668	1060765
TR_1059037	1059037	-	antisense_in_gene	1058713	1058738	1058708	1058820	1058867	1058842	1058790	1058877
TR_1061567	1061567	+	antisense_in_gene	1061890	1061880	1061880	1061880	1061890	1061880	1061880	1061880
TR_1061733	1061733	-	upstream_sense	1060660	1061164	1061100	1061228	1060660	1060632	1060563	1060804
TR_1061900	1061900	+	upstream_sense	1063131	1062376	1062375	1062377	1064107	1064098	1064097	1064100
TR_1062598	1062598	+	sense_for_next	1064106	1063753	1063308	1064096	0	0	0	0
TR_1064966	1064966	-	leaderless_sense	1064118	1064274	1064136	1064587	1064118	1064286	1064113	1064483
TR_1065082	1065082	+	upstream_sense	1067449	1066008	1065752	1066151	1067449	1066598	1066351	1067119
TR_1066547	1066547	+	in_gene_sense	1067555	1067472	1067145	1067545	1067523	1067526	1067513	1067542
TR_1067486	1067486	-	down_stream_antisense	1067147	1067178	1067157	1067189	1067185	1067173	1067144	1067195
TR_1067565	1067565	+	leaderless_sense	1069780	1068650	1068515	1068953	1073277	1071555	1071555	1071555
TR_1069735	1069735	-	antisense_in_gene	1069251	1069259	1069044	1069371	1069290	1068780	1067506	1069300
TR_1069886	1069886	+	upstream_sense	1071266	1070451	1070376	1070526	0	0	0	0
TR_1071345	1071345	+	in_gene_sense	1071815	1071788	1071703	1071926	0	0	0	0
TR_1073308	1073308	-	down_stream_antisense	1073022	1073016	1072987	1073038	1073016	1073058	1073026	1073082
TR_1073331	1073331	+	leaderless_sense	1074074	1074050	1074023	1074064	1074074	1074064	1074064	1074064
TR_1074084	1074084	+	leaderless_sense	1074634	1074654	1074596	1074739	1074730	1074779	1074720	1074819
TR_1074237	1074237	-	antisense_in_gene	1073688	1073762	1073624	1074129	1073656	1073878	1073589	1074129
TR_1077155	1077155	-	in_gene_sense	1076620	1076693	1076611	1076833	0	0	0	0
TR_1077840	1077840	-	upstream_sense	1077237	1077271	1077193	1077384	1076782	1076916	1076836	1077021
TR_1077958	1077958	+	upstream_sense	1081059	1078904	1078790	1078983	1081693	1081768	1081599	1081948
TR_1079372	1079372	+	in_gene_sense	1081132	1081152	1080799	1081248	0	0	0	0
TR_1081268	1081268	+	in_gene_sense	1081973	1082045	1081899	1082120	0	0	0	0
TR_1090235	1090235	-	upstream_sense	1088497	1089630	1089488	1089732	1085760	1088544	1086245	1089875
TR_1090332	1090332	+	upstream_sense	1093148	1090853	1090802	1090904	1093148	1090940	1090775	1091107
TR_1092788	1092788	-	antisense_in_gene	1092296	1092291	1092244	1092327	1092316	1092303	1092258	1092330
TR_1094822	1094822	+	antisense_in_gene	1095328	1095312	1095293	1095341	1095463	1095497	1095438	1095581
TR_1096221	1096221	+	antisense_in_gene	1096669	1096668	1096569	1096806	1096608	1096703	1096598	1096806
TR_1096826	1096826	+	leaderless_sense	1097512	1097413	1097336	1097767	1097512	1098505	1097345	1100816
TR_1097365	1097365	+	sense_for_next	1099026	1097852	1097829	1097884	1099026	1098515	1098515	1098515
TR_1097745	1097745	-	antisense_in_gene	1097255	1097290	1097265	1097315	1097026	1097036	1097036	1097036
TR_1097928	1097928	-	antisense_in_gene	1097755	1097475	1097176	1097765	1097755	1097267	1096924	1097765
TR_1098535	1098535	+	sense_for_next	1100464	1099497	1098979	1100143	1101110	1101206	1101100	1101336
TR_1099730	1099730	+	in_gene_sense	1100502	1100304	1100177	1100492	0	0	0	0
TR_1100512	1100512	+	in_gene_sense	1101466	1101217	1101102	1101456	0	0	0	0
TR_1101534	1101534	-	upstream_sense	1100923	1100932	1100862	1100997	1100858	1100845	1100797	1100893
TR_1101784	1101784	+	upstream_sense	1105113	1102739	1102415	1103047	1106280	1105774	1105774	1105774
TR_1104936	1104936	+	sense_for_next	1106280	1105675	1105543	1106163	0	0	0	0
TR_1106712	1106712	+	antisense_in_gene	1107154	1107138	1107103	1107161	1107163	1107216	1107142	1107377
TR_1107422	1107422	-	upstream_sense	1106409	1106981	1106935	1107059	1106409	1106698	1106408	1106818
TR_1107505	1107505	+	antisense_in_gene	1107843	1107842	1107805	1107936	1107796	1107966	1107786	1108114
TR_1108510	1108510	+	down_stream_antisense	1108508	1108498	1108498	1108498	1108508	1108739	1108498	1109076
TR_1108553	1108553	-	upstream_sense	1107447	1108019	1108004	1108035	1107447	1107973	1107929	1108023
TR_1109175	1109175	-	leaderless_sense	1108582	1108710	1108637	1108761	1108582	1108621	1108554	1108787
TR_1109275	1109275	+	upstream_sense	1111553	1110463	1110107	1110714	1110196	1111628	1110107	1112289
TR_1112309	1112309	+	upstream_sense	1113464	1113040	1112991	1113070	1113464	1113574	1113452	1113650
TR_1113511	1113511	+	upstream_sense	1113855	1113808	1113735	1113845	1113745	1113735	1113735	1113735
TR_1113583	1113583	-	antisense_in_gene	1113283	1113316	1113293	1113351	1113327	1113326	1113304	1113338
TR_1113865	1113865	+	upstream_sense	1114728	1114582	1114479	1114661	1115753	1115118	1115072	1115152
TR_1114695	1114695	+	sense_for_next	1115753	1115161	1115112	1115197	0	0	0	0
TR_1115212	1115212	-	antisense_in_gene	1114890	1114902	1114883	1114936	1114885	1114896	1114866	1114933
TR_1115869	1115869	+	in_gene_sense	1116608	1116563	1116440	1116612	1116651	1116676	1116637	1116723
TR_1117131	1117131	-	in_gene_sense	1116475	1116499	1116474	1116551	1116472	1116422	1116370	1116482
TR_1117189	1117189	+	leaderless_sense	1118397	1117990	1117949	1118017	1118397	1118177	1118017	1118659
TR_1118037	1118037	+	antisense_for_next	1118525	1118474	1118449	1118515	1118558	1118583	1118537	1118666
TR_1119794	1119794	+	antisense_in_gene	1120016	1120091	1120006	1120520	1121005	1120778	1120006	1121108
TR_1120001	1120001	-	upstream_sense	1118432	1119341	1119205	1119531	1118432	1118495	1118326	1118832
TR_1120026	1120026	+	leaderless_sense	1120883	1120538	1120479	1120630	1121100	1121090	1121090	1121090
TR_1121742	1121742	+	antisense_in_gene	1122080	1122072	1122070	1122079	1122035	1122071	1122025	1122107
TR_1122160	1122160	-	upstream_sense	1120893	1121585	1121401	1121772	1120893	1121610	1121347	1121874
TR_1123512	1123512	-	in_gene_sense	1123018	1123035	1122907	1123177	1122787	1122245	1121519	1122887
TR_1123595	1123595	+	antisense_in_gene	1124112	1124094	1124051	1124121	1124024	1124776	1124014	1125509
TR_1124289	1124289	-	antisense_in_gene	1123830	1123850	1123830	1123890	1123893	1123857	1123821	1123903
TR_1127010	1127010	-	upstream_sense	1125448	1126446	1126424	1126501	1125319	1125104	1124952	1125329
