genome_position	direction	TSS_intensity	Initiated_opeoron_or_not	location_in_genes	New_tss_intensity	fold_change	upstream_tss_coverage	downstream_tss_coverage	
751539	+	4225	operon_start_site	gene_sense	973	6.09	1637	9968	TSS
753646	-	156	operon_start_site	gap_sense	97	4.76	202	967	TSS
755239	-	1557	operon_start_site	gap_sense	1667	100.27	82	8322	TSS
756118	+	130	operon_start_site	gap_sense	44	1.98	417	826	TSS
759597	+	2670	operon_start_site	gap_sense	2739	8.62	3409	29410	TSS
769655	-	114	operon_start_site	gap_sense	54	2.06	473	976	TSS
769795	+	413	operon_start_site	gene_sense_leadless	245	6.84	400	2743	TSS
771487	+	187	operon_start_site	gene_sense_leadless	200	11.6	175	2041	TSS
778968	-	2179	operon_start_site	gap_sense	490	56.38	81	4623	TSS
778993	+	945	operon_start_site	gene_sense_leadless	313	17.84	175	3139	TSS
780477	-	707	operon_start_site	gap_sense	307	172.73	10	1900	TSS
780590	+	214	operon_start_site	gap_sense	185	7.8	255	1998	TSS
781380	+	1688	operon_start_site	gap_sense	1574	8.99	1790	16103	TSS
784751	+	593	operon_start_site	gap_sense	232	4.1	659	2706	TSS
786123	+	552	operon_start_site	gap_sense	184	11.32	175	1993	TSS
787086	+	147	operon_start_site	gap_sense	90	2.39	593	1418	TSS
787955	+	160	operon_start_site	gene_sense	203	8.5	252	2150	TSS
791275	-	1180	operon_start_site	gene_sense	636	44.19	138	6142	TSS
791700	-	63	operon_start_site	gene_antisense	14	3.18	50	162	TSS
791716	+	4545	operon_start_site	gene_sense	1817	37.68	490	18500	TSS
794742	+	445	operon_start_site	gene_sense	325	27.89	116	3263	TSS
798676	+	158	operon_start_site	gap_sense	106	14.05	77	1096	TSS
800206	+	3923	operon_start_site	gap_sense	3664	379.62	95	36444	TSS
806304	+	324	operon_start_site	gap_sense	268	8.82	307	2716	TSS
809898	+	254	operon_start_site	gap_sense	311	11.92	262	3136	TSS
811231	+	1147	operon_start_site	gap_sense	1144	21.86	542	11872	TSS
815733	+	808	operon_start_site	gene_sense	622	34.2	175	6020	TSS
819677	-	201	operon_start_site	gap_sense	133	51.57	22	1186	TSS
821479	-	53	operon_start_site	gene_sense_leadless	53	84	5	504	TSS
821510	+	45	operon_start_site	gene_sense_leadless	18	1.82	196	359	TSS
822911	+	521	operon_start_site	gene_sense	395	77.75	50	3965	TSS
824698	-	53	operon_start_site	gap_sense	13	1.74	171	299	TSS
824718	+	688	operon_start_site	gap_sense	752	14.11	531	7504	TSS
830027	+	185	operon_start_site	gap_sense	146	27.18	54	1495	TSS
831577	+	197	operon_start_site	gene_sense	31	1.22	1307	1595	 
832428	+	335	operon_start_site	gap_sense	148	7.25	235	1710	TSS
834949	-	254	operon_start_site	gene_sense_leadless	222	18.81	112	2125	TSS
835658	+	104	operon_start_site	gene_sense	147	8.6	177	1530	TSS
838378	+	486	operon_start_site	gap_sense	335	76.86	42	3305	TSS
840950	+	313	operon_start_site	gene_sense_leadless	461	17.25	266	4607	TSS
841919	-	220	operon_start_site	gap_sense	200	6.47	334	2169	TSS
842032	+	463	operon_start_site	gap_sense	496	14.44	347	5024	TSS
846002	-	287	operon_start_site	gap_sense	43	12.23	30	379	TSS
846017	+	94	operon_start_site	gap_sense	49	9.81	51	510	TSS
850076	-	375	operon_start_site	gap_sense	359	8.92	420	3756	TSS
850508	-	424	operon_start_site	gene_sense	215	4.17	603	2520	TSS
850851	-	82	operon_start_site	gene_sense	47	2.66	259	691	TSS
851551	+	241	operon_start_site	gap_sense	120	5.76	237	1371	TSS
851741	-	217	operon_start_site	gene_antisense	98	11.65	80	944	TSS
854229	-	143	operon_start_site	gap_sense	117	4.93	265	1311	TSS
855898	-	720	operon_start_site	gap_sense	463	18.13	170	3100	TSS
860713	-	76	operon_start_site	gene_sense_leadless	54	7.61	74	571	TSS
860872	+	150	operon_start_site	gap_sense	83	13.16	66	882	TSS
864589	+	106	operon_start_site	gene_sense_leadless	76	7.16	115	830	TSS
868284	+	437	operon_start_site	gene_antisense	438	31.18	140	4396	TSS
868342	-	190	operon_start_site	gene_sense	287	10.22	321	3290	TSS
870000	+	534	operon_start_site	gap_sense	433	18.15	236	4301	TSS
873346	+	262	operon_start_site	gene_sense_leadless	120	8	170	1368	TSS
874187	+	112	operon_start_site	gene_sense	24	3.48	87	306	TSS
874555	+	236	operon_start_site	gene_sense	30	2.92	142	417	TSS
878431	-	390	operon_start_site	gene_sense	376	179.4	19	3588	TSS
878736	+	185	operon_start_site	gene_sense	123	2.44	829	2022	TSS
879362	+	147	operon_start_site	gene_sense	101	4.97	226	1129	TSS
881716	-	71	operon_start_site	gene_antisense	28	5.13	61	318	TSS
882457	+	586	operon_start_site	gap_sense	444	13.4	335	4503	TSS
886649	-	293	operon_start_site	gene_sense_leadless	246	38.15	61	2365	TSS
886672	+	35	operon_start_site	gap_sense	22	15.44	15	247	TSS
888665	-	78	operon_start_site	gap_sense	26	4.55	70	323	TSS
889075	+	34	operon_start_site	gene_sense_leadless	23	5.4	49	270	TSS
890317	+	60	operon_start_site	gene_sense	30	5.3	63	339	TSS
893270	-	181	operon_start_site	gene_sense	123	12.77	95	1226	TSS
893321	+	77	operon_start_site	gene_sense_leadless	72	6.55	120	792	TSS
894634	+	260	operon_start_site	gene_sense_leadless	123	11.04	111	1237	TSS
895602	-	56	operon_start_site	gene_sense	15	1.24	470	584	 
895784	+	197	operon_start_site	gap_sense	205	5.36	440	2362	TSS
898795	+	1686	operon_start_site	gap_sense	2102	21.35	964	20603	TSS
901374	-	94	operon_start_site	gap_sense	36	1.32	938	1243	 
901638	+	126	operon_start_site	gene_sense_leadless	67	7.79	95	748	TSS
902133	+	1916	operon_start_site	gene_sense	1529	18.12	825	14971	TSS
903727	+	467	operon_start_site	gap_sense	487	8.14	638	5200	TSS
905166	-	3547	operon_start_site	gap_sense	4434	96.72	436	42265	TSS
906343	-	270	operon_start_site	gene_sense_leadless	319	94.5	31	3024	TSS
906406	+	222	operon_start_site	gap_sense	141	60.3	22	1387	TSS
908120	-	630	operon_start_site	gap_sense	403	5.92	545	3233	TSS
909584	-	587	operon_start_site	gap_sense	743	139.47	50	7113	TSS
910910	+	934	operon_start_site	gap_sense	729	16.01	459	7363	TSS
914202	-	1055	operon_start_site	gene_sense_leadless	792	38.88	196	7659	TSS
918783	-	6610	operon_start_site	gap_sense	6206	253.98	228	58161	TSS
919578	+	65	operon_start_site	gap_sense	95	10.38	97	1017	TSS
919639	-	177	operon_start_site	gene_antisense	112	7.96	100	804	TSS
921141	-	368	operon_start_site	gap_sense	77	9.02	41	379	TSS
921938	+	125	operon_start_site	gap_sense	56	9.68	62	610	TSS
923712	-	945	operon_start_site	gene_sense_leadless	848	17.06	484	8273	TSS
923882	-	23	operon_start_site	gap_sense	10	8.55	10	94	TSS
923938	+	68	operon_start_site	gap_sense	59	6.56	103	682	TSS
924992	+	330	operon_start_site	gene_sense	236	2.12	1959	4156	TSS
930529	-	514	operon_start_site	gap_sense	537	89.49	54	4922	TSS
930547	+	101	operon_start_site	gap_sense	98	20.38	47	978	TSS
934723	+	249	operon_start_site	gene_sense_leadless	259	78.91	32	2604	TSS
935554	+	464	operon_start_site	gap_sense	106	3.73	348	1301	TSS
941123	-	217	operon_start_site	gap_sense	231	24.87	88	2213	TSS
941250	+	113	operon_start_site	gene_sense	85	169.2	4	846	TSS
944292	-	433	operon_start_site	gap_sense	644	4.95	1411	6991	TSS
944331	+	1789	operon_start_site	gap_sense	6635	15.51	4302	66755	TSS
948471	-	211	operon_start_site	gene_sense_leadless	175	30.63	53	1654	TSS
948646	+	75	operon_start_site	gene_sense	79	8.82	93	829	TSS
951125	-	111	operon_start_site	gap_sense	57	16.86	20	354	TSS
951186	+	303	operon_start_site	gene_sense_leadless	164	14.46	113	1649	TSS
952772	+	314	operon_start_site	gap_sense	167	8.69	203	1772	TSS
953280	+	355	operon_start_site	gene_sense	264	3.7	911	3370	TSS
954927	-	51	operon_start_site	gap_sense	54	10.87	30	337	TSS
955014	+	421	operon_start_site	gap_sense	205	19.9	101	2030	TSS
960340	-	160	operon_start_site	gap_sense	86	5.67	120	686	TSS
962616	-	61	operon_start_site	gene_antisense	59	10.54	56	601	TSS
962683	+	3430	operon_start_site	gene_sense	2534	15.75	1606	25312	TSS
965809	-	2294	operon_start_site	gap_sense	2835	598.02	41	25117	TSS
967756	-	429	operon_start_site	gap_sense	708	115.32	30	3575	TSS
967821	+	768	operon_start_site	gap_sense	754	4.52	1911	8644	TSS
970285	-	969	operon_start_site	gap_sense	974	108.19	85	9304	TSS
970458	+	828	operon_start_site	gap_sense	260	17.73	142	2535	TSS
975973	-	130	operon_start_site	gap_sense	175	23.11	73	1710	TSS
976057	+	1105	operon_start_site	gap_sense	1020	18.18	559	10178	TSS
978764	-	497	operon_start_site	gap_sense	603	3695	0	3695	TSS
978937	+	136	operon_start_site	gene_sense_leadless	152	2.6	865	2253	TSS
981314	-	835	operon_start_site	gap_sense	628	50.45	116	5903	TSS
982557	-	319	operon_start_site	gene_sense_leadless	239	755.33	2	2266	TSS
982728	+	1404	operon_start_site	gap_sense	3217	25.02	1283	32126	TSS
987057	+	408	operon_start_site	gap_sense	255	9.3	278	2594	TSS
987164	-	60	operon_start_site	gap_sense	55	2.51	311	784	TSS
989869	-	194	operon_start_site	gap_sense	134	2.52	400	1011	TSS
993021	-	289	operon_start_site	gene_sense	135	2.73	696	1902	TSS
993742	-	83	operon_start_site	gap_sense	34	4.44	92	413	TSS
993804	+	251	operon_start_site	gap_sense	111	7.76	153	1195	TSS
996298	-	117	operon_start_site	gene_sense_leadless	30	7.56	40	310	TSS
996450	+	50	operon_start_site	gap_sense	11	3.14	34	110	TSS
999427	+	701	operon_start_site	gap_sense	388	24.81	155	3871	TSS
1002707	-	418	operon_start_site	gene_sense_leadless	295	8.83	345	3055	TSS
1002767	+	132	operon_start_site	gap_sense	96	19.83	47	952	TSS
1003539	+	279	operon_start_site	gene_sense	154	2.26	1080	2446	TSS
1006556	-	624	operon_start_site	gene_sense	398	89.95	41	3778	TSS
1008210	+	705	operon_start_site	gene_sense_leadless	774	67.66	113	7713	TSS
1008294	-	60	operon_start_site	gene_antisense	40	7	50	357	TSS
1014646	+	696	operon_start_site	gap_sense	322	13.74	231	3188	TSS
1019969	-	146	operon_start_site	gene_sense_leadless	299	139.18	16	2366	TSS
1022032	+	83	operon_start_site	gap_sense	14	2.06	125	259	TSS
1023228	+	137	operon_start_site	gene_sense	144	4.99	353	1767	TSS
1024404	+	201	operon_start_site	gene_sense	116	14.38	80	1165	TSS
1025561	-	772	operon_start_site	gene_sense	433	6.65	699	4652	TSS
1026965	-	144	operon_start_site	gap_sense	179	18.2	93	1711	TSS
1027099	+	100	operon_start_site	gap_sense	123	4.2	469	1972	TSS
1027590	+	367	operon_start_site	gene_sense	317	1.76	3958	6984	TSS
1030614	-	58	operon_start_site	gene_sense	54	7.47	79	598	TSS
1032715	-	109	operon_start_site	gene_sense	187	13.26	140	1869	TSS
1034855	+	324	operon_start_site	gap_sense	104	17.16	60	1047	TSS
1040631	-	1335	operon_start_site	gene_sense	1035	4.94	2360	11665	TSS
1041168	-	1582	operon_start_site	gap_sense	1105	32.08	334	10747	TSS
1041268	+	496	operon_start_site	gene_sense_leadless	452	20.87	224	4695	TSS
1046029	-	117	operon_start_site	gap_sense	94	2.44	385	942	TSS
1046140	+	162	operon_start_site	gene_sense_leadless	74	3.58	271	973	TSS
1051490	-	111	operon_start_site	gap_sense	36	2.59	205	533	TSS
1054262	+	139	operon_start_site	gene_sense	93	2.69	522	1406	TSS
1056689	-	106	operon_start_site	gene_sense_leadless	56	23.52	22	541	TSS
1058097	-	923	operon_start_site	gap_sense	989	104.06	89	9365	TSS
1058261	+	139	operon_start_site	gap_sense	133	8.84	153	1362	TSS
1061733	-	413	operon_start_site	gap_sense	530	36.65	130	4801	TSS
1061900	+	1018	operon_start_site	gap_sense	1468	10.28	1482	15246	TSS
1065082	+	1508	operon_start_site	gap_sense	1064	11.03	966	10662	TSS
1067565	+	121	operon_start_site	gene_sense_leadless	96	7.82	131	1032	TSS
1069884	+	161	operon_start_site	gap_sense	149	17.84	84	1516	TSS
1073331	+	318	operon_start_site	gene_sense_leadless	295	16.31	184	3018	TSS
1074084	+	463	operon_start_site	gene_sense	357	6.07	652	3965	TSS
1077840	-	506	operon_start_site	gap_sense	666	172.43	36	6380	TSS
1077958	+	1931	operon_start_site	gap_sense	1208	351.97	33	11967	TSS
1090235	-	67	operon_start_site	gap_sense	32	25.42	11	305	TSS
1090332	+	173	operon_start_site	gap_sense	179	8.52	219	1874	TSS
1094822	+	1314	operon_start_site	gene_antisense	1768	19.87	879	17486	TSS
1096826	+	808	operon_start_site	gene_sense_leadless	552	9.13	625	5717	TSS
1097365	+	417	operon_start_site	gene_sense	273	3.39	1067	3620	TSS
1098535	+	811	operon_start_site	gene_sense	466	10.42	463	4835	TSS
1101534	-	91	operon_start_site	gap_sense	68	2.56	310	796	TSS
1101784	+	121	operon_start_site	gap_sense	100	8.35	119	1002	TSS
1107421	-	112	operon_start_site	gap_sense	81	12.95	63	829	TSS
1108534	-	1385	operon_start_site	gap_sense	1120	9.71	1176	11434	TSS
1109175	-	132	operon_start_site	gene_sense_leadless	112	17.61	61	1092	TSS
1109275	+	320	operon_start_site	gap_sense	247	11.22	223	2513	TSS
1110127	+	187	operon_start_site	gene_sense	181	3.22	778	2508	TSS
1112309	+	541	operon_start_site	gap_sense	460	42.09	175	7407	TSS
1113865	+	1135	operon_start_site	gap_sense	1161	9.23	1332	12305	TSS
1114738	+	202	operon_start_site	gap_sense	125	2.16	953	2058	TSS
1115869	+	213	operon_start_site	gene_sense	196	12.3	161	1993	TSS
1117131	-	318	operon_start_site	gene_sense	227	144.2	14	2163	TSS
1117189	+	228	operon_start_site	gene_sense_leadless	151	13.83	109	1521	TSS
1120005	-	139	operon_start_site	gap_sense	206	111.45	10	1226	TSS
1120026	+	59	operon_start_site	gene_sense_leadless	68	2.73	363	993	TSS
1123595	+	1601	operon_start_site	gene_antisense	1310	17.39	750	13062	TSS
1124289	-	193	operon_start_site	gene_antisense	319	31.75	91	2921	TSS
1127010	-	93	operon_start_site	gap_sense	155	13.04	118	1552	TSS
1127033	+	35	operon_start_site	gap_sense	46	34.54	12	449	TSS
1127959	+	425	operon_start_site	gap_sense	412	2.51	2313	5809	TSS
1130159	+	228	operon_start_site	gap_sense	165	8.64	213	1848	TSS
1131487	+	639	operon_start_site	gap_sense	1172	14.33	823	11812	TSS
1134705	-	1087	operon_start_site	gap_sense	1712	413.19	20	8677	TSS
1136517	-	985	operon_start_site	gap_sense	579	18.07	304	5512	TSS
1138159	-	115	operon_start_site	gap_sense	108	16.97	60	1035	TSS
1138253	+	455	operon_start_site	gap_sense	244	20.68	118	2461	TSS
1142616	+	66	operon_start_site	gene_sense	62	8.94	71	644	TSS
1143703	+	73	operon_start_site	gap_sense	57	12.72	45	585	TSS
1144509	+	139	operon_start_site	gap_sense	55	2.15	444	955	TSS
1151730	+	76	operon_start_site	gap_sense	33	15.27	21	336	TSS
1158742	-	164	operon_start_site	gap_sense	143	59.05	20	1240	TSS
1160438	-	61	operon_start_site	gap_sense	62	7.37	90	671	TSS
1164841	-	57	operon_start_site	gene_sense	30	2.02	231	469	TSS
1165685	-	631	operon_start_site	gap_sense	469	32.38	136	4436	TSS
1166915	-	541	operon_start_site	gap_sense	340	75.2	40	3083	TSS
1167096	+	108	operon_start_site	gene_sense	146	15.45	95	1483	TSS
1169285	-	781	operon_start_site	gap_sense	555	2.6	3225	8374	TSS
1172391	+	75	operon_start_site	gene_sense_leadless	78	5.46	173	950	TSS
1175184	+	406	operon_start_site	gap_sense	480	3.73	1483	5542	TSS
1176570	+	388	operon_start_site	gap_sense	294	1.6	4244	6775	TSS
1177211	+	137	operon_start_site	gene_sense	80	2.28	579	1323	TSS
1179220	+	490	operon_start_site	gap_sense	384	9.82	394	3879	TSS
1180646	+	160	operon_start_site	gap_sense	75	4.38	185	815	TSS
1186828	-	112	operon_start_site	gene_sense_leadless	71	1.91	541	1034	TSS
1187328	-	109	operon_start_site	gene_sense_leadless	116	46.74	22	1075	TSS
1187356	+	663	operon_start_site	gap_sense	1305	18.23	710	12960	TSS
1196122	-	281	operon_start_site	gap_sense	115	3.8	350	1335	TSS
1196240	+	5146	operon_start_site	gap_sense	3038	2.27	23060	52305	TSS
1199414	-	692	operon_start_site	gap_sense	300	52.1	47	2501	TSS
1200387	-	102	operon_start_site	gap_sense	116	7.43	162	1211	TSS
1200520	+	238	operon_start_site	gap_sense	341	15.09	226	3426	TSS
1201722	+	336	operon_start_site	gene_sense_leadless	243	10.39	243	2536	TSS
1203272	+	931	operon_start_site	gap_sense	795	6.76	1197	8099	TSS
1205967	-	2970	operon_start_site	gap_sense	2318	16.53	1308	21635	TSS
1206459	-	167	operon_start_site	gap_sense	290	50.46	53	2725	TSS
1206496	+	230	operon_start_site	gap_sense	376	3.99	1182	4719	TSS
1210528	-	272	operon_start_site	gap_sense	160	2.71	886	2408	TSS
1210600	+	388	operon_start_site	gene_sense_leadless	397	10.49	386	4060	TSS
1211522	+	185	operon_start_site	gap_sense	102	2.98	486	1449	TSS
1215204	+	64	operon_start_site	gap_sense	36	6.28	64	408	TSS
1216431	+	89	operon_start_site	gap_sense	94	11.18	86	973	TSS
1220191	-	143	operon_start_site	gene_sense_leadless	87	4.05	256	1040	TSS
1220543	+	741	operon_start_site	gap_sense	636	6.12	1109	6793	TSS
1221964	+	8726	operon_start_site	gene_sense_leadless	9426	20.32	4629	94092	TSS
1224390	+	592	operon_start_site	gene_sense_leadless	506	34.4	145	5022	TSS
1228689	-	322	operon_start_site	gene_antisense	396	34.97	106	3742	TSS
1228745	+	640	operon_start_site	gene_sense	519	9.97	550	5491	TSS
1231306	+	129	operon_start_site	gene_sense_leadless	73	2.5	450	1129	TSS
1234361	-	86	operon_start_site	gene_sense	79	8.08	101	824	TSS
1236100	-	1424	operon_start_site	gene_sense_leadless	1054	22.66	447	10153	TSS
1236190	+	641	operon_start_site	gene_sense_leadless	444	11.45	392	4498	TSS
1238197	-	498	operon_start_site	gene_sense_leadless	552	25.26	211	5356	TSS
1238260	+	45	operon_start_site	gene_sense_leadless	51	6.99	76	538	TSS
1239387	+	227	operon_start_site	gap_sense	200	13.03	157	2058	TSS
1241411	-	529	operon_start_site	gap_sense	328	45.12	40	1850	TSS
1241637	+	757	operon_start_site	gap_sense	712	7.87	980	7722	TSS
1243677	+	669	operon_start_site	gap_sense	492	12.69	388	4938	TSS
1247015	-	60	operon_start_site	gene_sense	86	35.3	22	812	TSS
1247134	+	263	operon_start_site	gene_sense_leadless	152	13.21	115	1532	TSS
1251415	-	222	operon_start_site	gap_sense	136	6.07	240	1464	TSS
1253032	-	179	operon_start_site	gap_sense	81	10.53	50	537	TSS
1254515	-	655	operon_start_site	gene_sense	618	89.03	62	5609	TSS
1254635	+	1175	operon_start_site	gene_sense	1150	20.73	552	11462	TSS
1261214	+	59	operon_start_site	gene_antisense	36	3.66	123	454	TSS
1261713	-	9437	operon_start_site	gap_sense	4174	4	10923	43672	TSS
1267035	-	276	operon_start_site	gap_sense	87	2.59	474	1230	TSS
1267281	+	302	operon_start_site	gap_sense	191	4.63	484	2245	TSS
1269014	-	92	operon_start_site	gene_sense_leadless	76	9.24	87	813	TSS
1269941	+	140	operon_start_site	gene_antisense	84	2.89	395	1145	TSS
1269963	-	465	operon_start_site	gene_sense_leadless	348	16.07	216	3487	TSS
1272172	-	10768	operon_start_site	gene_sense	10087	147.63	647	95664	TSS
1272365	+	59	operon_start_site	gap_sense	45	3.95	144	573	TSS
1274160	+	65	operon_start_site	gene_sense	39	4.72	95	453	TSS
1279622	-	104	operon_start_site	gene_sense_leadless	55	98.8	4	494	TSS
1279660	+	497	operon_start_site	gene_sense_leadless	395	12.42	322	4013	TSS
1281434	+	531	operon_start_site	gene_sense_leadless	421	15.46	275	4267	TSS
1282311	+	1288	operon_start_site	gene_sense_leadless	690	2.11	5741	12119	TSS
1284895	-	638	operon_start_site	gap_sense	145	435.33	2	1306	TSS
1285054	+	136	operon_start_site	gene_sense	110	60.72	17	1093	TSS
1286573	-	1182	operon_start_site	gene_sense_leadless	566	334.56	15	5353	TSS
1286599	+	170	operon_start_site	gap_sense	140	10.54	139	1475	TSS
1287129	+	1793	operon_start_site	gap_sense	2076	28.96	666	19319	TSS
1296141	+	107	operon_start_site	gap_sense	79	11.93	68	823	TSS
1298967	-	327	operon_start_site	gene_sense	308	4.7	740	3486	TSS
1300168	+	289	operon_start_site	gap_sense	408	18.01	228	4125	TSS
1300224	-	1069	operon_start_site	gap_sense	974	70.81	128	9134	TSS
1301231	+	758	operon_start_site	gap_sense	499	10.81	467	5059	TSS
1302860	+	746	operon_start_site	gap_sense	593	16.72	355	5953	TSS
1302897	-	1799	operon_start_site	gap_sense	2064	110.6	177	19687	TSS
1306078	-	6804	operon_start_site	gap_sense	6006	9.74	6512	63457	TSS
1308797	-	141	operon_start_site	gene_sense_leadless	187	4.07	564	2297	TSS
1308914	+	2744	operon_start_site	gap_sense	3003	11.25	2677	30118	TSS
1313308	-	305	operon_start_site	gap_sense	253	43.62	33	1483	TSS
1313661	+	426	operon_start_site	gap_sense	309	1.75	3677	6444	TSS
1316324	+	470	operon_start_site	gene_sense	301	16.29	184	3013	TSS
1321303	+	256	operon_start_site	gene_sense	123	5.38	270	1458	TSS
1325692	-	3074	operon_start_site	gap_sense	2392	71.69	318	22869	TSS
1327518	-	1422	operon_start_site	gene_sense_leadless	1386	51.51	246	12724	TSS
1329311	-	132	operon_start_site	gene_sense_leadless	129	68.33	17	1230	TSS
1329396	+	58	operon_start_site	gene_sense_leadless	8	6.92	12	90	 
1330473	+	1058	operon_start_site	gene_sense	287	10.3	289	2988	TSS
1332182	+	59	operon_start_site	gene_sense	72	4.39	207	913	TSS
1333937	+	59	operon_start_site	gene_sense_leadless	56	8.23	69	576	TSS
1334945	+	827	operon_start_site	gene_sense	1687	8.61	2010	17310	TSS
1338519	-	2059	operon_start_site	gene_sense_leadless	4575	6.86	7136	48952	TSS
1338896	+	4840	operon_start_site	gap_sense	14980	14.37	10570	151905	TSS
1340989	+	1163	operon_start_site	gap_sense	397	1.66	5511	9142	TSS
1342605	+	623	operon_start_site	gene_antisense	595	15.31	406	6230	TSS
1342985	-	196	operon_start_site	gene_antisense	103	10.46	102	1077	TSS
1345166	-	671	operon_start_site	gene_sense	664	29.11	218	6376	TSS
1345266	+	184	operon_start_site	gene_sense_leadless	166	11.9	139	1666	TSS
1347111	-	80	operon_start_site	gene_sense	103	37.65	25	979	TSS
1348725	+	248	operon_start_site	gene_sense_leadless	211	16.59	127	2124	TSS
1348737	-	288	operon_start_site	gene_antisense	263	30.85	40	1265	TSS
1351197	+	126	operon_start_site	gene_sense_leadless	118	7.28	177	1296	TSS
1351752	+	151	operon_start_site	gene_sense	158	3.65	557	2034	TSS
1353163	+	659	operon_start_site	gene_sense_leadless	524	11.92	450	5377	TSS
1354199	+	5003	operon_start_site	gap_sense	2116	52.69	399	21075	TSS
1355842	+	211	operon_start_site	gene_sense_leadless	146	12.33	121	1504	TSS
1356188	-	75	operon_start_site	gene_antisense	82	31.9	20	670	TSS
1357662	-	66	operon_start_site	gap_sense	64	7.08	50	361	TSS
1359450	-	106	operon_start_site	gene_sense_leadless	100	3.81	335	1281	TSS
1363367	-	265	operon_start_site	gene_sense_leadless	179	557	2	1671	TSS
1364183	-	193	operon_start_site	gap_sense	145	11.34	130	1485	TSS
1364482	+	1645	operon_start_site	gene_sense	314	1.29	10446	13464	 
1365315	+	856	operon_start_site	gap_sense	657	5.67	1337	7588	TSS
1368721	-	83	operon_start_site	gene_sense	64	4.9	150	740	TSS
1370878	+	49	operon_start_site	gap_sense	33	19.35	16	329	TSS
1372929	-	293	operon_start_site	gene_sense	470	239.67	17	4314	TSS
1374276	-	1086	operon_start_site	gap_sense	369	27.56	77	2150	TSS
1376832	-	220	operon_start_site	gene_sense_leadless	216	6.82	341	2331	TSS
1376981	+	224	operon_start_site	gap_sense	79	1.25	2482	3103	 
1380640	+	143	operon_start_site	gene_sense	20	4.02	62	253	TSS
1383083	-	193	operon_start_site	gap_sense	155	1253	0	1253	TSS
1383189	+	800	operon_start_site	gap_sense	803	8.62	937	8085	TSS
1384284	+	153	operon_start_site	gene_sense_leadless	205	6.3	367	2320	TSS
1386816	+	585	operon_start_site	gap_sense	592	8.15	729	5953	TSS
1388658	-	271	operon_start_site	gap_sense	202	8.16	263	2153	TSS
1390151	-	274	operon_start_site	gene_sense	336	28.43	113	3241	TSS
1393148	-	237	operon_start_site	gap_sense	156	3.3	408	1348	TSS
1394096	+	89	operon_start_site	gap_sense	82	6.1	153	939	TSS
1394099	-	262	operon_start_site	gap_sense	227	22.36	97	2191	TSS
1399973	+	97	operon_start_site	gap_sense	60	6.61	93	621	TSS
1400395	-	931	operon_start_site	gene_antisense	706	36.46	183	6709	TSS
1406090	-	176	operon_start_site	gene_sense	110	4.44	283	1262	TSS
1407353	-	139	operon_start_site	gene_antisense	71	9.35	92	870	TSS
1407432	+	65	operon_start_site	gene_sense	43	39.09	10	430	TSS
1408191	+	370	operon_start_site	gene_sense	172	5.56	340	1895	TSS
1409939	-	162	operon_start_site	gene_sense_leadless	79	1.58	1178	1867	TSS
1410378	-	254	operon_start_site	gene_sense_leadless	247	194.42	11	2333	TSS
1410437	+	55	operon_start_site	gene_sense_leadless	35	3.31	155	517	TSS
1411998	+	1306	operon_start_site	gene_sense	1064	17.8	628	11195	TSS
1413377	+	587	operon_start_site	gene_sense	270	10.12	283	2873	TSS
1415871	-	302	operon_start_site	gap_sense	144	4.67	370	1731	TSS
1417405	-	91	operon_start_site	gap_sense	73	4.34	179	781	TSS
1419782	-	520	operon_start_site	gap_sense	124	102.45	10	1127	TSS
1422403	-	190	operon_start_site	gene_sense	102	46.71	20	981	TSS
1424178	+	764	operon_start_site	gap_sense	696	2.47	4444	10999	TSS
1426240	+	485	operon_start_site	gene_sense	426	27.44	151	4171	TSS
1433536	-	213	operon_start_site	gene_sense	132	26.18	48	1283	TSS
1437143	-	105	operon_start_site	gap_sense	105	7.12	140	1004	TSS
1437279	+	172	operon_start_site	gap_sense	231	4.94	482	2388	TSS
1437920	+	324	operon_start_site	gene_sense	138	2.71	591	1605	TSS
1440527	+	213	operon_start_site	gene_sense	171	12.38	144	1795	TSS
1442779	+	193	operon_start_site	gene_sense	116	14.7	79	1176	TSS
1444963	+	20	operon_start_site	gene_antisense	3	2.92	12	38	 
1446298	-	51	operon_start_site	gap_sense	42	18.81	20	395	TSS
1446385	+	344	operon_start_site	gene_sense_leadless	416	11.93	351	4201	TSS
1448886	+	474	operon_start_site	gene_sense	405	11.31	365	4141	TSS
1453013	+	2576	operon_start_site	gap_sense	2896	12.05	2396	28895	TSS
1455102	+	1577	operon_start_site	gap_sense	1580	5.79	3032	17560	TSS
1457130	+	878	operon_start_site	gene_sense	800	9.75	836	8164	TSS
1458319	+	528	operon_start_site	gene_sense	527	20.07	255	5138	TSS
1459713	+	683	operon_start_site	gap_sense	422	1.7	5991	10169	TSS
1469908	-	148	operon_start_site	gene_sense	62	1.72	514	887	TSS
1470258	-	170	operon_start_site	gene_sense_leadless	71	21.44	31	686	TSS
1470327	+	593	operon_start_site	gene_sense_leadless	889	9.97	967	9649	TSS
1471663	+	8184	operon_start_site	gap_sense	8087	3.22	36247	116709	TSS
1473663	+	2152	operon_start_site	gap_sense	6526	1.28	288403	370543	 
1479124	-	182	operon_start_site	gene_sense_leadless	244	11.38	210	2402	TSS
1480838	-	51	operon_start_site	gap_sense	45	3.98	90	362	TSS
