new_tss	direction	original_average_count
1741322	+	29
1742174	+	33
1742184	+	83
1742250	+	590
1745024	+	640
1747201	+	282
1747698	+	388
1750568	+	50
1753571	+	194
1757406	+	107
1760222	+	16
1760428	+	20
1760947	+	20
1760984	+	21
1761015	+	136
1761675	+	72
1762480	+	372
1762953	+	512
1763434	+	489
1763640	+	291
1764776	+	238
1765330	+	38
1766479	+	43
1771049	+	120
1772090	+	20
1772692	+	104
1773191	+	82
1773702	+	69
1774812	+	74
1775064	+	35
1775170	+	81
1775398	+	90
1775993	+	41
1776702	+	37
1779929	+	43
1782747	+	35
1783654	+	272
1784965	+	27
1785089	+	28
1785790	+	278
1786231	+	480
1786966	+	22
1787856	+	35
1788513	+	596
1789850	+	14
1789906	+	24
1790207	+	244
1791825	+	25
1793420	+	23
1793619	+	36
1793760	+	152
1794715	+	1115
1797853	+	19
1798070	+	36
1798301	+	220
1799320	+	35
1799572	+	383
1800262	+	33
1801479	+	92
1802122	+	24
1803306	+	30
1804664	+	25
1804843	+	26
1805804	+	28
1805851	+	76
1805930	+	337
1806187	+	236
1807761	+	83
1807910	+	324
1808560	+	31
1809254	+	63
1810094	+	25
1810192	+	1457
1811432	+	32
1814057	+	190
1814774	+	164
1815317	+	824
1816196	+	511
1818536	+	31
1818569	+	74
1824357	+	140
1825721	+	12
1825962	+	72
1827019	+	34
1828122	+	642
1828187	+	453
1830005	+	38
1830672	+	91
1833500	+	2921
1834279	+	95
1836902	+	23
1837019	+	486
1839529	+	42
1840757	+	24
1841367	+	22
1842395	+	846
1843707	+	182
1844262	+	228
1846990	+	20
1849251	+	292
1849449	+	80
1849882	+	75
1850088	+	246
1851998	+	3657
1853867	+	141
1855659	+	37
1855688	+	263
1855714	+	1046
1856355	+	299
1856817	+	206
1857539	+	77
1857737	+	62
1858064	+	51
1858600	+	233
1859229	+	31
1859784	+	36
1862441	+	55
1864024	+	51
1865598	+	159
1871301	+	111
1872159	+	47
1874110	+	148
1874158	+	136
1876684	+	20
1880846	+	24
1886283	+	52
1887564	+	74
1890644	+	149
1891199	+	353
1892249	+	29
1892934	+	73
1895760	+	13
1896093	+	189
1896796	+	25
1896874	+	222
1898333	+	32
1899280	+	30
1900825	+	26
1901183	+	736
1901811	+	192
1902389	+	97
1904176	+	18
1906326	+	103
1907455	+	109
1907529	+	138
1907585	+	192
1909575	+	49
1910155	+	66
1910295	+	287
1912985	+	38
1913084	+	30
1913608	+	86
1913630	+	76
1914347	+	16
1915491	+	175
1915956	+	143
1916585	+	81
1917762	+	445
1918487	+	141
1921549	+	1061
1922828	+	50
1923753	+	1051
1925180	+	123
1925362	+	182
1925700	+	53
1927094	+	60
1928081	+	33
1929340	+	21
1930307	+	25
1931464	+	42
1931702	+	63
1933164	+	38
1933542	+	27
1933944	+	33
1933983	+	33
1934055	+	313
1934806	+	854
1935866	+	28
1936332	+	31
1936418	+	335
1936628	+	214
1937189	+	211
1938075	+	342
1939834	+	73
1940690	+	36
1941826	+	43
1945370	+	65
1946924	+	36
1947232	+	19
1947767	+	50
1948513	+	34
1951282	+	18
1954126	+	29
1955018	+	43
1955163	+	199
1956775	+	438
1957398	+	85
1957645	+	242
1958679	+	33
1960674	+	2303
1962196	+	75
1964830	+	35
1965583	+	2961
1967681	+	123
1967712	+	261
1968973	+	409
1970399	+	114
1970903	+	61
1971534	+	124
1972023	+	48
1972145	+	194
1973642	+	294
1975838	+	102
1976667	+	138
1978151	+	13
1978316	+	18
1979638	+	29
1979771	+	559
1982431	+	27
1982635	+	47
1982737	+	48
1984512	+	18
1985055	+	54
1985327	+	76
1986563	+	25
1986599	+	22
1987029	+	33
1988075	+	46
1992787	+	22
1993219	+	212
1994404	+	140
1996159	+	36
1996708	+	27
1997401	+	70
1998943	+	498
1999717	+	225
2000081	+	214
2000514	+	147
2000567	+	274
2002466	+	38
2002625	+	312
2003241	+	48
2003893	+	208
2005110	+	41
2006567	+	1486
2007794	+	82
2008937	+	153
2009658	+	26
2009925	+	47
2010753	+	13
2011164	+	23
2011974	+	209
2012646	+	81
2012672	+	67
2012798	+	181
2014651	+	37
2014685	+	66
2014704	+	487
2015473	+	64
2015851	+	20
2015882	+	30
2016296	+	33
2017135	+	28
2017306	+	310
2017608	+	798
2019065	+	48
2023911	+	13
2024077	+	133
2024781	+	125
2025150	+	55
2026754	+	398
2028331	+	100
2029778	+	1023
2029873	+	900
2030684	+	2320
2031658	+	43
2031936	+	33
2032068	+	302
2033500	+	51
2033995	+	16
2034627	+	508
2035281	+	220
2035397	+	52
2035438	+	194
2036705	+	77
2037375	+	109
2038645	+	17
2038974	+	17
2039121	+	354
2039840	+	179
2040867	+	98
2042031	+	109
2042058	+	49
2044170	+	29
2045327	+	27
2046929	+	118
2047542	+	46
2047601	+	2390
2049902	+	84
2052567	+	41
2052685	+	39
2052700	+	42
2052973	+	701
2053599	+	176
2054123	+	29
2054977	+	23
2055240	+	311
2055965	+	224
2056486	+	133
2056850	+	87
2057462	+	936
2058281	+	74
2058623	+	44
2059331	+	42
2059359	+	39
2060576	+	24
2062829	+	46
2063016	+	41
2064806	+	114
2066023	+	45
2066554	+	409
2066682	+	472
2068340	+	23
2068970	+	60
2069087	+	167
2069605	+	90
2069671	+	87
2070255	+	24
2070436	+	49
2071501	+	24
2071913	+	580
2072199	+	1026
2072384	+	876
2072496	+	2083
2073789	+	44
2073848	+	712
2074758	+	579
2074813	+	548
2075616	+	2285
2077758	+	37
2078248	+	66
2078397	+	226
2079069	+	29
2079328	+	30
2079837	+	58
2080767	+	191
2081561	+	260
2082895	+	31
2083282	+	52
2084458	+	30
2084933	+	26
2087181	+	152
2087338	+	266
2089661	+	26
2091115	+	23
2091716	+	63
2091759	+	24
2092224	+	24
2096745	+	69
2096767	+	3064
2096884	+	150
2097355	+	165
2099045	+	29
2099709	+	23
2100272	+	31
2102717	+	21
2102873	+	97
2103280	+	43
2104910	+	585
2106756	+	667
2107139	+	37
2107330	+	141
2107743	+	128
2109101	+	106
2109128	+	276
2109551	+	226
2110974	+	26
2111235	+	38
2112257	+	29
2113075	+	65
2114986	+	30
2115242	+	17
2115468	+	47
2115771	+	61
2117329	+	107
2119305	+	20
2123113	+	19
2123192	+	34
2123673	+	128
2124212	+	87
2124519	+	24
2124565	+	73
2125127	+	178
2125145	+	130
2125236	+	535
2126210	+	346
2126567	+	39
2127537	+	108
2128023	+	18
2129333	+	25
2129542	+	27
2130248	+	47
2131278	+	28
2132115	+	32
2132267	+	44
2133424	+	24
2133759	+	14
2134170	+	36
2134216	+	46
2135882	+	87
2136135	+	986
2136541	+	4483
2137991	+	28
2138221	+	94
2139176	+	36
2139718	+	1641
2141318	+	20
2141957	+	114
2142390	+	154
2143544	+	91
2143574	+	83
2144409	+	17
2144446	+	62
2144947	+	354
2145901	+	245
2146753	+	26
2146961	+	24
2147659	+	34
2147675	+	293
2148632	+	203
2149027	+	160
2149535	+	62
2150371	+	211
2150841	+	1907
2153400	+	22
2153427	+	24
2154546	+	25
2155990	+	35
2156609	+	27
2159111	+	48
2159198	+	67
2160342	+	416
2160434	+	868
2162017	+	34
2163695	+	34
2164237	+	31
2165904	+	49
2166718	+	36
2168349	+	24
2168424	+	28
2171669	+	204
2172095	+	47
2173157	+	39
2173533	+	19
2174030	+	39
2174072	+	120
2175240	+	264
2176313	+	26
2176383	+	123
2177094	+	2965
2178857	+	57
2179446	+	23
2179680	+	106
2180141	+	62
2180716	+	50
2183379	+	1170
2184780	+	38
2186893	+	28
2187330	+	87
2189855	+	15
2190472	+	48
2193624	+	152
2195886	+	50
2195996	+	68
2197695	+	352
2198646	+	79
2199469	+	21
2200704	+	42
2200720	+	250
2201255	+	1638
2203085	+	72
2204308	+	38
2204377	+	33
2204748	+	37
2204847	+	40
2207622	+	68
2218247	+	26
2219567	+	203
2219587	+	54
2219739	+	155
2220888	+	215
2222290	+	23
2222367	+	130
2223564	+	35
2223700	+	34
2223767	+	25
2224712	+	14
2225354	+	23
2225382	+	25
2226044	+	27
2226219	+	207
2228007	+	23
2228060	+	27
2228684	+	156
2229089	+	84
2229971	+	80
2229996	+	84
2230019	+	210
2231034	+	1220
2231660	+	1428
2232283	+	243
2232687	+	280
2233696	+	202
2235175	+	25
2236195	+	43
2236979	+	94
2238119	+	128
2238989	+	490
2240130	+	471
2241859	+	70
2242966	+	45
2243526	+	66
2245291	+	51
2246398	+	25
2247634	+	48
2247674	+	25
2251245	+	26
2252034	+	28
2254364	+	14
2255133	+	17
2256373	+	19
2256619	+	104
2258053	+	924
2258996	+	50
2259342	+	46
2259559	+	47
2263398	+	193
2265078	+	28
2265239	+	178
2265259	+	299
2266281	+	34
2266328	+	50
2267117	+	182
2267661	+	31
2270263	+	22
2270462	+	156
2273235	+	28
2274789	+	29
2277659	+	49
2279078	+	24
2279113	+	525
2279672	+	28
2281302	+	151
2285930	+	18
2286138	+	32
2287894	+	33
2288391	+	36
2288955	+	198
2291277	+	80
2292339	+	42
2293254	+	26
2294023	+	67
2300455	+	54
2304448	+	24
2307027	+	32
2307703	+	381
2307760	+	594
2309421	+	17
2311311	+	24
2311616	+	26
2313133	+	290
2315148	+	263
2315163	+	148
2315475	+	19
2319464	+	75
2320839	+	108
2321459	+	146
2322560	+	81
2323759	+	29
2325067	+	49
2326835	+	68
2326952	+	587
2327599	+	26
2328888	+	29
2329926	+	73
2331006	+	1005
2331529	+	66
2333664	+	28
2334999	+	30
2335048	+	318
2337166	+	149
2338193	+	104
2339451	+	114
2340916	+	47
2343986	+	27
2344336	+	158
2346096	+	29
2346605	+	29
2347381	+	41
2347926	+	22
2354291	+	27
2355933	+	18
2355968	+	29
2356321	+	73
2358510	+	36
2360174	+	417
2362029	+	32
2362620	+	17
2364807	+	56
2365473	+	34
2366022	+	25
2366715	+	41
2366955	+	239
2368216	+	158
2369126	+	28
2369330	+	44
2369979	+	33
2370439	+	34
2370884	+	20
2371708	+	23
2372315	+	46
2372613	+	44
2372638	+	135
2373586	+	29
2373842	+	231
2374370	+	20
2375252	+	22
2376092	+	41
2376427	+	197
2378394	+	157
2386301	+	509
2388341	+	41
2388413	+	28
2388520	+	1007
2389922	+	57
2392004	+	275
2392103	+	247
2393403	+	395
2393419	+	53
2394399	+	21
2395006	+	11
2395074	+	52
2397253	+	604
2398193	+	191
2398268	+	931
2399877	+	42
2400382	+	71
2400672	+	26
2401947	+	18
2401974	+	43
2402282	+	26
2402654	+	39
2403174	+	145
2403331	+	324
2405460	+	48
2405999	+	21
2406850	+	43
2409615	+	248
2411599	+	21
2413447	+	21
2425263	+	27
2425376	+	89
2425727	+	516
2427191	+	54
2430491	+	51
2432008	+	43
2432203	+	36
2432917	+	311
2434219	+	34
2434389	+	41
2434784	+	133
2435556	+	55
2436204	+	12
2436748	+	63
2437194	+	23
2437643	+	28
2437913	+	275
2437949	+	86
2438680	+	38
2439284	+	42
2439967	+	19
2440505	+	19
2441383	+	21
2442029	+	48
2442947	+	171
2443307	+	379
2446075	+	44
2446291	+	23
2446597	+	49
2447440	+	80
2448120	+	644
2450050	+	139
2451052	+	72
2453851	+	40
2456151	+	32
2456887	+	121
2456909	+	2360
2462385	+	50
2463275	+	64
2464045	+	31
2464369	+	27
2465005	+	79
2466109	+	221
2468148	+	132
2468526	+	29
2468942	+	34
2469413	+	39
2469740	+	34
2470630	+	343
2472701	+	21
2473288	+	937
2474450	+	20
2475877	+	36
2477198	+	154
2477213	+	442
2478346	+	203
2479405	+	48
2479721	+	39
2480507	+	36
2481879	+	355
2484223	+	20
2484550	+	142
2484592	+	655
2485281	+	256
2486240	+	319
2487481	+	164
2487504	+	56
2487547	+	54
2487616	+	367
2489982	+	37
2490923	+	24
2496028	+	45
2497686	+	679
2498787	+	153
2500931	+	109
2505660	+	224
2506436	+	83
2507547	+	43
2509423	+	145
2510021	+	59
2510170	+	200
2511554	+	25
2512172	+	242
2512406	+	481
2515312	+	66
2516795	+	2049
2517994	+	28
2520589	+	141
2524680	+	24
2525383	+	103
2526850	+	32
2527970	+	90
2529768	+	39
2532255	+	282
2535620	+	67
2536154	+	37
2536354	+	29
2538319	+	37
2538714	+	58
2540076	+	167
2540659	+	140
2541711	+	70
2542393	+	27
2542472	+	34
2543594	+	24
2544391	+	71
2544912	+	44
2545152	+	29
2545295	+	860
2546618	+	25
2546800	+	273
2548958	+	272
2549950	+	35
2550074	+	36
2550624	+	29
2551317	+	67
2551530	+	799
2552320	+	55
2553158	+	12
2553202	+	24
2553794	+	13
2554524	+	151
2554775	+	89
2555576	+	19
2556155	+	172
2556795	+	109
2557483	+	118
2559749	+	45
2560377	+	21
2560978	+	30
2561426	+	376
2561486	+	528
2562211	+	102
2562562	+	349
2562963	+	1641
2563123	+	349
2563817	+	35
2564282	+	45
2564775	+	36
2565177	+	48
2565337	+	107
2566777	+	980
2567484	+	171
2567875	+	54
2568110	+	148
2568457	+	49
2569092	+	235
2571351	+	26
2572292	+	62
2572912	+	37
2573025	+	295
2573787	+	328
2575819	+	51
2577303	+	47
2579163	+	38
2580010	+	29
2580173	+	42
2580429	+	34
2581079	+	25
2581298	+	30
2581750	+	44
2582193	+	46
2583801	+	20
2584400	+	22
2584434	+	56
2584460	+	123
2586632	+	43
2588848	+	28
2590858	+	90
2592915	+	46
2594967	+	74
2595893	+	33
2596037	+	35
2596306	+	79
2597979	+	31
2598508	+	29
2599976	+	26
2599998	+	226
2600692	+	65
2602069	+	22
2603702	+	18
2603867	+	30
2604212	+	27
2604329	+	218
2604683	+	24
2604824	+	41
2605080	+	110
2605797	+	43
2607021	+	117
2608536	+	1034
2610793	+	501
2611747	+	29
2613092	+	32
2614198	+	24
2614524	+	169
2614566	+	189
2616259	+	37
2616958	+	34
2617015	+	61
2617447	+	117
2617764	+	69
2618919	+	42
2619865	+	48
2620031	+	64
2620254	+	861
2622722	+	39
2623831	+	176
2625688	+	32
2625855	+	36
2625881	+	127
2626581	+	24
2626876	+	22
2627706	+	27
2628056	+	31
2628419	+	21
2630052	+	24
2630129	+	27
2630411	+	258
2630600	+	124
2631393	+	62
2631962	+	27
2632157	+	88
2632453	+	65
2635638	+	34
2636187	+	25
2636880	+	65
2637481	+	602
2640203	+	23
2640298	+	104
2641043	+	46
2641207	+	430
2642436	+	69
2643269	+	33
2644330	+	93
2645262	+	36
2645294	+	51
2648105	+	16
2648918	+	34
2649592	+	21
2651688	+	83
2654205	+	72
2655231	+	328
2659603	+	76
2661031	+	31
2662034	+	13
2664443	+	28
2666634	+	25
2674459	+	33
2675848	+	70
2677475	+	33
2677670	+	39
2679102	+	18
2680043	+	37
2680344	+	730
2683239	+	44
2683867	+	125
2684005	+	174
2684439	+	4146
2687859	+	273
2689852	+	44
2690082	+	68
2690290	+	105
2691498	+	41
2692176	+	29168
2692734	+	157
2694795	+	42
2695867	+	622
2697673	+	40
2698425	+	128
2699638	+	28
2703246	+	268
2704707	+	30
2706749	+	55
2707187	+	28
2710055	+	3139
2713914	+	21
2714452	+	28
2717660	+	60
2718414	+	20
2718511	+	41
2719607	+	33
2720719	+	28
2720780	+	42
2724609	+	39
2724741	+	27
2725164	+	33
2725235	+	41
2726123	+	87
2726162	+	700
2727253	+	34
2727415	+	166
2727927	+	332
2728400	+	60
2728525	+	31
2729799	+	48
2729867	+	75
2730768	+	39
2731842	+	51
2731976	+	121
2733205	+	119
2733670	+	76
2735507	+	44
2737286	+	30
2740603	+	39
2740684	+	129
2741352	+	95
2741622	+	81
2743344	+	20
2744218	+	22
2744427	+	129
2751223	+	61
2751719	+	23
2752466	+	15
2752753	+	49
2753869	+	41
2754260	+	34
2757248	+	31
2759508	+	20
2759789	+	91
2760751	+	776
2762019	+	36
2762919	+	26
2763028	+	43
2764099	+	19
2764623	+	28
2765517	+	153
2765573	+	294
2767181	+	47
2768996	+	146
2772257	+	39
2773178	+	367
2775293	+	284
2775698	+	120
2777290	+	16
2779007	+	40
2779147	+	30
2782384	+	65
2782829	+	33
2783586	+	20
2784990	+	44
2786274	+	256
2787268	+	46
2788313	+	47
2789610	+	43
2793689	+	55
2794180	+	66
2794857	+	22
2797206	+	22
2801118	+	80
2805923	+	26
2807948	+	34
2808093	+	211
2809270	+	20
2810042	+	33
2813996	+	31
2814441	+	56
2814896	+	110
2816889	+	70
2817008	+	86
2817047	+	61
2818104	+	23
2818676	+	28
2818692	+	26
2819230	+	384
2820224	+	13
2820886	+	61
2821295	+	31
2821659	+	52
2821679	+	116
2822275	+	38
2822437	+	532
2824211	+	15
2824688	+	277
2826626	+	28
2827167	+	189
2827825	+	44
2828030	+	121
2828234	+	350
2829807	+	420
2830036	+	91
2831094	+	15
2832933	+	18
2834457	+	25
2834569	+	45
2834900	+	27
2835396	+	113
2835490	+	179
2835772	+	302
2837694	+	540
2843112	+	62
2843669	+	41
2848761	+	24
2849668	+	29
2850129	+	37
2850150	+	36
2850628	+	27
2850752	+	32
2851101	+	252
2851764	+	40
2853326	+	40
2854929	+	38
2856117	+	88
2857837	+	62
2859051	+	36
2860462	+	717
2861948	+	23
2864530	+	114
2865830	+	15
2867952	+	45
2868616	+	176
2869866	+	85
2870776	+	131
2872427	+	21
2872756	+	22
2874242	+	31
2874652	+	20
2876222	+	16
2877084	+	424
2877877	+	636
2880030	+	93
2881416	+	255
2882082	+	63
2882093	+	99
2882300	+	171
2883618	+	33
2884441	+	264
2885975	+	27
2886464	+	24
2889804	+	120
2891301	+	21
2891953	+	41
2894522	+	87
2895486	+	21
2897032	+	105
2897893	+	32
2898816	+	187
2899047	+	62
2899329	+	147
2900928	+	31
2901103	+	36
2902686	+	66
2903576	+	72
2903623	+	86
2906872	+	126
2909962	+	26
2911269	+	114
2911739	+	57
2912114	+	179
2913279	+	18
2913416	+	125
2914445	+	51
2916335	+	540
2917803	+	106
2917822	+	1786
2921514	+	40
2921558	+	30
2922992	+	59
2925502	+	382
2926044	+	20
2926309	+	230
2928152	+	64
2930080	+	630
2932812	+	38
2933732	+	135
2934179	+	56
2934533	+	35
2934815	+	38
2934963	+	374
2936028	+	27
2937933	+	77
2939681	+	150
2943145	+	26
2944002	+	29
2945340	+	180
2946359	+	36
2948611	+	57
2949549	+	4666
2951593	+	49
2952099	+	38
2952400	+	30
2954443	+	68
2954890	+	122
2955151	+	1129
2955529	+	1099
2955580	+	461
2957350	+	172
2958743	+	105
2959312	+	18
2962771	+	48
2962966	+	142
2963596	+	127
2964335	+	362
2965878	+	54
2965905	+	363
2966095	+	112
2966543	+	101
2967800	+	39
2968556	+	17
2968632	+	20
2968667	+	115
2969450	+	33
2971269	+	21
2971867	+	50
2971877	+	18
2972170	+	32
2972719	+	26
2973412	+	22
2975920	+	29
2976164	+	64
2977594	+	49
2977814	+	125
2978551	+	919
2978979	+	137
2979414	+	35
2980043	+	38
2980409	+	13
2980545	+	30
2980921	+	502
2981865	+	282
2982575	+	884
2983906	+	18
2984714	+	206
2985560	+	69
2986849	+	65
2987710	+	217
2989181	+	95
2989316	+	59
2990485	+	67
2990716	+	473
2993867	+	110
2994901	+	30
2995125	+	179
2996013	+	813
2997284	+	22
2998320	+	21
2999997	+	47
3000066	+	116
3000134	+	82
3000176	+	83
3001496	+	23
3003432	+	33
3004730	+	36
3005481	+	16
3009095	+	98
3009266	+	220
3009664	+	74
3011058	+	37
3011811	+	19
3011926	+	24
3012677	+	70
3014183	+	313
3015213	+	381
3015302	+	275
3016104	+	15
3016843	+	222
3017717	+	2232
3019842	+	35
3020309	+	527
3021173	+	116
3021519	+	20
3021786	+	24
3021867	+	240
3022403	+	57
3022443	+	4162
3023560	+	823
3025442	+	112
3026254	+	53
3026739	+	25
3026909	+	47
3027038	+	133
3027918	+	534
3028605	+	43
3029182	+	192
3031798	+	1079
3032925	+	40
3033237	+	32
3033469	+	35
3034739	+	173
3035556	+	46
3035694	+	112
3037450	+	58
3038399	+	46
3042388	+	14
3042926	+	142
3046767	+	19
3046791	+	161
3049865	+	26
3049903	+	33
3050610	+	28
3053243	+	617
3053854	+	85
3055166	+	246
3056029	+	250
3058883	+	32
3059272	+	86
3061381	+	24
3061434	+	203
3062464	+	232
3064152	+	24
3064900	+	35
3066792	+	45
3072053	+	26
3073296	+	34
3073333	+	22
3074646	+	42
3074928	+	49
3076472	+	36
3078054	+	31
3079098	+	45
3079152	+	20
3079375	+	35
3079675	+	219
3081656	+	54
3081734	+	106
3082231	+	111
3082531	+	175
3082831	+	241
3085508	+	28
3085911	+	28
3086365	+	47
3086809	+	783
3087424	+	415
3089825	+	17
3093797	+	26
3095138	+	53
3095299	+	121
3096969	+	372
3097992	+	29
3102182	+	19
3102337	+	45
3104521	+	56
3105831	+	27
3106333	+	39
3107793	+	361
3108425	+	40
3109193	+	41
3109645	+	141
3112024	+	85
3112822	+	207
3114792	+	126
3114979	+	76
3115295	+	280
3119321	+	33
3119403	+	32
3120899	+	49
3123628	+	2896
3123894	+	80
3126200	+	23
3126306	+	51
3127034	+	12
3127298	+	15
3127712	+	45
3128034	+	45
3128299	+	29
3129395	+	38
3130698	+	49
3131262	+	27
3131322	+	38
3131490	+	52
3132545	+	52
3134451	+	135
3135536	+	32
3137281	+	169
3139358	+	37
3145018	+	113
3148352	+	129
3150181	+	118
3150703	+	111
3154666	+	70
3156171	+	82
3156448	+	23
3156963	+	19
3157410	+	22
3158967	+	38
3159264	+	23
3160585	+	23
3161730	+	14
3162200	+	21
3162244	+	110
3164162	+	65
3166662	+	365
3167455	+	27
3169630	+	66
3172472	+	20
3176883	+	48
3177268	+	30
3177283	+	35
3177547	+	174
3178206	+	23
3180077	+	44
3180951	+	17
3182228	+	31
3183148	+	260
3183860	+	1221
3184240	+	55
3185081	+	56
3185196	+	302
3185288	+	81
3186181	+	48
3186274	+	41
3186983	+	237
3187600	+	31
3187681	+	1853
3193361	+	25
3193380	+	117
3196335	+	114
3196441	+	257
3197309	+	33
3197637	+	56
3198690	+	32
3199142	+	144
3202430	+	25
3202798	+	25
3205238	+	23
3205486	+	56
3208270	+	21
3208867	+	14
3209493	+	21
3209754	+	37
3210754	+	72
3211455	+	17
3211566	+	96
3214504	+	2536
3216737	+	33
3218349	+	133
3219553	+	18
3220126	+	39
3220218	+	48
3221017	+	21
3221715	+	59
3223247	+	23
3223928	+	41
3226460	+	37
3231152	+	15
3234446	+	29
3236457	+	34
3237770	+	52
3240341	+	53
3241765	+	25
3242244	+	310
3243224	+	74
3243378	+	3625
3243523	+	142
3249450	+	58
3250505	+	28
3255947	+	69
3256465	+	37
3256790	+	45
3258275	+	89
3263694	+	24
3265768	+	26
3266868	+	22
3267435	+	815
3267747	+	63
3268610	+	29
3271931	+	268
3272446	+	91
3272765	+	28
3272884	+	25
3273396	+	23
3274295	+	31
3274625	+	51
3274843	+	20
3274886	+	86
3276188	+	35
3278318	+	47
3281526	+	54
3281649	+	41
3282240	+	50
3282732	+	30
3282918	+	42
3283345	+	1418
3284716	+	40
3284920	+	204
3285903	+	24
3286633	+	42
3287223	+	78
3287981	+	74
3288449	+	69
3288880	+	70
3289685	+	80
3290268	+	29
3290864	+	68
3291651	+	29
3296700	+	31
3297846	+	71
3298801	+	94
3299101	+	23
3299413	+	22
3300284	+	73
3301849	+	30
3303368	+	23
3303626	+	34
3303778	+	51
3304289	+	128
3304438	+	272
3305289	+	271
3308678	+	318
3311441	+	33
3312032	+	24
3313116	+	73
3315179	+	45
3315241	+	334
3316526	+	77
3317324	+	12
3318056	+	25
3318168	+	84
3320652	+	29
3323300	+	22
3323324	+	43
3325712	+	552
3325989	+	402
3328163	+	53
3329621	+	25
3331798	+	1157
3333944	+	32
3335917	+	147
3336513	+	34
3336572	+	46
3338427	+	20
3339128	+	50
3339885	+	223
3346157	+	1720
3347992	+	106
3348703	+	46
3350266	+	35
3351279	+	115
3351848	+	43
3352371	+	61
3353108	+	43
3353718	+	30
3355109	+	38
3356663	+	25
3356827	+	27
3357015	+	80
3357549	+	148
3358626	+	31
3359411	+	107
3362894	+	23
3363036	+	42
3363319	+	439
3364387	+	25
3364707	+	15
3364719	+	424
3365352	+	286
3366693	+	221
3367237	+	52
3368467	+	50
3369616	+	17
3370499	+	30
3371033	+	17
3371825	+	78
3372819	+	25
3373400	+	16
3374046	+	14
3374174	+	54
3374648	+	48
3375755	+	89
3375776	+	48
3377448	+	50
3377659	+	51
3381203	+	70
3381395	+	36
3382627	+	370
3384609	+	19
3385712	+	28
3386630	+	21
3388989	+	21
3389109	+	94
3390177	+	15
3391378	+	27
3393297	+	36
3393361	+	167
3393949	+	52
3395035	+	200
3396571	+	21
3396817	+	32
3398169	+	30
3398817	+	110
3402818	+	25
3402890	+	23
3403002	+	32
3403183	+	41
3403922	+	28
3404692	+	23
3405132	+	669
3406085	+	22
3406253	+	356
3409382	+	51
3410264	+	123
3410560	+	26
3411104	+	19
3413152	+	19
3414380	+	25
3416078	+	70
3419463	+	333
3421210	+	195
3422323	+	117
3422857	+	21
3423236	+	106
3425498	+	183
3425581	+	50
3426223	+	31
3427210	+	43
3428526	+	40
3428778	+	15
3429802	+	25
3429820	+	27
3429972	+	45
3430358	+	126
3431284	+	34
3431807	+	47
3432657	+	35
3433429	+	95
3433542	+	33
3433658	+	126
3435851	+	20
3436776	+	157
3437664	+	36
3439087	+	58
3440383	+	51
3440905	+	31
3441289	+	29
3441635	+	43
3442827	+	81
3446009	+	72
3446171	+	117
3447436	+	23
3448501	+	418
3451766	+	323
3454924	+	15
3456851	+	27
3456940	+	43
3458166	+	127
3459113	+	83
3460072	+	198
3461312	+	185
3462772	+	35
3463967	+	320
3464544	+	119
3465072	+	30
3465693	+	59
3466351	+	25
3467388	+	115
3467409	+	473
3469925	+	23
3471368	+	76
3473899	+	32
3473921	+	100
3474585	+	37
3475570	+	38
3475742	+	44
3476195	+	19
3477363	+	68
3482706	+	167
3482983	+	258
3483947	+	53
3484744	+	52
3485946	+	65
3486360	+	31
3488102	+	92
3489240	+	19
3490175	+	32
3490297	+	32
3490327	+	625
3491130	+	225
3491798	+	67
3492132	+	1534
3492633	+	80
3494514	+	12
3494564	+	74
3496512	+	1131
3496670	+	16
3497118	+	12
3497590	+	53
3499072	+	49
3499652	+	19
3499969	+	33
3500804	+	19
3500902	+	41
3501164	+	3427
3502256	+	48
3502486	+	40
3503298	+	41
3503939	+	33
3504183	+	87
3505327	+	451
3508092	+	257
3508878	+	33
3508951	+	200
3509651	+	143
3510235	+	26
3510597	+	33
3511586	+	666
3512428	+	39
3514424	+	18
3516521	+	236
3518651	+	60
3519530	+	26
3520950	+	250
3522055	+	41
3522814	+	55
3524248	+	113
3526581	+	40
3526827	+	59
3527049	+	69
3530721	+	23
3531143	+	78
3533207	+	39
3533907	+	37
3536061	+	118
3537405	+	35
3538358	+	113
3538502	+	139
3539651	+	43
3540923	+	41
3542099	+	42
3547615	+	36
3548408	+	24
3548825	+	34
3549118	+	23
3549245	+	20
3549972	+	22
3550365	+	183
3551278	+	60
3551827	+	47
3552520	+	77
3554003	+	42
3554152	+	16
3554265	+	341
3556870	+	1003
3559568	+	42
3561130	+	29
3561621	+	44
3563019	+	30
3564302	+	252
3566662	+	22
3567036	+	1919
3567900	+	31
3569160	+	47
3570618	+	46
3571332	+	402
3574203	+	31
3580238	+	89
3581051	+	53
3581235	+	179
3581715	+	133
3583539	+	799
3584310	+	63
3584935	+	479
3586093	+	672
3587255	+	206
3587605	+	1856
3588833	+	36
3591626	+	215
3591643	+	186
3592676	+	30
3594465	+	46
3595499	+	117
3595571	+	234
3595600	+	10169
3597805	+	342
3597915	+	1038
3599039	+	39
3599335	+	64
3599695	+	36
3599848	+	671
3601028	+	54
3602658	+	167
3603374	+	123
3607076	+	40
3608309	+	188
3610430	+	24
3610814	+	16
3611131	+	171
3611308	+	137
3614219	+	179
3614601	+	49
3618165	+	45
3619920	+	17
3621269	+	100
