sense_transcription_unit_start_site	sense_transcription_unit_end_site	sense_transcription_unit_direction	antisense_transcript_start_site	antisense_transcript_end_site	antisense_transcript_direction	antisense_transcript_end_location_information	antisense_transcript_length(WT_log)
1579596	1580428	-	1579938	1580330	+	end_in_gene	392
1623100	1623694	-	1623499	1623851	+	end_as_asRNA_for_next_TU	352
1680809	1681972	-	1680705	1681107	+	end_in_gene	402
1698050	1699900	-	1698123	1698703	+	end_in_gene	580
1720818	1729276	-	1725130	1725677	+	end_in_gene	547
1782744	1788497	-	1782747	1783095	+	end_in_gene	348
1848457	1852042	-	1850088	1850526	+	end_in_gene	438
2138351	2139694	-	2138221	2138655	+	end_in_gene	434
2143692	2144889	-	2144446	2144821	+	end_in_gene	375
2145265	2146841	-	2145901	2146333	+	end_in_gene	432
2148971	2150281	-	2149027	2149720	+	end_in_gene	693
2172503	2173802	-	2173157	2173730	+	end_in_gene	573
2198442	2200494	-	2198646	2199178	+	end_in_gene	532
2228924	2229947	-	2229089	2229559	+	end_in_gene	470
2233682	2237992	-	2233696	2234142	+	end_in_gene	446
2233682	2237992	-	2236979	2237395	+	end_in_gene	416
2266423	2267510	-	2267117	2267567	+	end_as_asRNA_for_next_TU	450
2283730	2289254	-	2286138	2286664	+	end_in_gene	526
2337887	2338647	-	2338193	2338647	+	end_coding_next_gene	454
2404566	2406026	-	2405460	2405793	+	end_in_gene	333
2406859	2409633	-	2409615	2410068	+	end_as_asRNA_for_next_TU	453
2424905	2429909	-	2425376	2426041	+	end_in_gene	665
2433652	2434663	-	2434389	2434663	+	end_coding_next_gene	274
2546451	2547097	-	2546800	2547339	+	end_as_asRNA_for_next_TU	539
2548959	2550039	-	2548958	2549218	+	end_in_gene	260
2564048	2565121	-	2564282	2564958	+	end_in_gene	676
2582045	2582654	-	2582193	2582540	+	end_in_gene	347
2693904	2697724	-	2697673	2698107	+	end_as_asRNA_for_next_TU	434
2706756	2709966	-	2706749	2707221	+	end_in_gene	472
2795248	2806246	-	2801118	2801439	+	end_in_gene	321
2812294	2814915	-	2814441	2814683	+	end_in_gene	242
2812294	2814915	-	2814896	2815140	+	end_as_asRNA_for_next_TU	244
2814925	2816988	-	2816889	2817374	+	end_as_asRNA_for_next_TU	485
2819935	2821660	-	2820886	2821291	+	end_in_gene	405
2869647	2870350	-	2869866	2870360	+	end_as_asRNA_for_next_TU	494
2870546	2876987	-	2870776	2871095	+	end_in_gene	319
2975917	2979330	-	2975920	2976310	+	end_in_gene	390
2975917	2979330	-	2977594	2978022	+	end_in_gene	428
3032518	3034717	-	3033469	3033893	+	end_in_gene	424
3047695	3051527	-	3049903	3050337	+	end_in_gene	434
3082361	3082766	-	3082531	3082749	+	end_coding_next_gene	218
3119363	3123700	-	3119321	3119766	+	end_in_gene	445
3204310	3212224	-	3205486	3205917	+	end_in_gene	431
3204310	3212224	-	3211566	3211799	+	end_in_gene	233
3238519	3241145	-	3240341	3240748	+	end_in_gene	407
3276237	3282900	-	3282240	3282623	+	end_in_gene	383
3290110	3293673	-	3290864	3291290	+	end_in_gene	426
3293683	3302584	-	3299101	3299709	+	end_in_gene	608
3326969	3331667	-	3328163	3328657	+	end_in_gene	494
3367287	3368803	-	3368467	3368822	+	end_as_asRNA_for_next_TU	355
3475384	3477172	-	3475742	3476008	+	end_in_gene	266
3490382	3491779	-	3491130	3491480	+	end_in_gene	350
3497556	3500785	-	3497590	3498173	+	end_in_gene	583
3531145	3533474	-	3531143	3531480	+	end_in_gene	337
3531145	3533474	-	3533207	3533502	+	end_in_gene	295
3540873	3541361	-	3540923	3541202	+	end_in_gene	279
3583768	3584825	-	3584310	3584629	+	end_in_gene	319
3597826	3599678	-	3597915	3598301	+	end_in_gene	386
3597826	3599678	-	3599335	3599592	+	end_in_gene	257
3620577	3621462	-	3621269	3621653	+	end_as_asRNA_for_next_TU	384
3691801	3694160	-	3693879	3694192	+	end_in_gene	313
3702625	3704070	-	3703390	3703705	+	end_in_gene	315
3708497	3709853	-	3708684	3709188	+	end_in_gene	504
3729536	3740480	-	3735730	3735998	+	end_in_gene	268
3740490	3747503	-	3743148	3743635	+	end_in_gene	487
3747513	3753355	-	3750242	3750671	+	end_in_gene	429
3754437	3769170	-	3763863	3764368	+	end_in_gene	505
3790999	3799021	-	3791387	3791812	+	end_in_gene	425
3849467	3854158	-	3850504	3851004	+	end_in_gene	500
3876279	3880983	-	3879758	3880119	+	end_in_gene	361
3911933	3919407	-	3914244	3914572	+	end_in_gene	328
3965865	3969123	-	3968802	3969100	+	end_in_gene	298
4007555	4012478	-	4012448	4012949	+	end_as_asRNA_for_next_TU	501
4021572	4025740	-	4024633	4024936	+	end_in_gene	303
4047685	4053113	-	4048124	4048356	+	end_in_gene	232
4064050	4067481	-	4066449	4066918	+	end_in_gene	469
4100698	4107262	-	4106415	4106741	+	end_in_gene	326
4112517	4116123	-	4115301	4115785	+	end_in_gene	484
4138326	4140645	-	4139609	4140369	+	end_in_gene	760
4190942	4193492	-	4190975	4191734	+	end_in_gene	759
4190942	4193492	-	4192248	4192634	+	end_in_gene	386
4206028	4207095	-	4206962	4207319	+	end_as_asRNA_for_next_TU	357
4284519	4286042	-	4284942	4285319	+	end_in_gene	377
4362139	4365012	-	4365004	4365405	+	end_as_asRNA_for_next_TU	401
4372894	4374602	-	4374192	4374634	+	end_in_gene	442
23380	25515	-	25027	25381	+	end_in_gene	354
302063	302710	-	302078	302462	+	end_in_gene	384
665410	668458	-	666554	666958	+	end_in_gene	404
789173	791275	-	789984	790323	+	end_in_gene	339
817547	819677	-	818985	819315	+	end_in_gene	330
883447	886649	-	885396	885800	+	end_in_gene	404
1004497	1006556	-	1005437	1005828	+	end_in_gene	391
1037927	1040631	-	1038764	1039105	+	end_in_gene	341
1158737	1160438	-	1160361	1160796	+	end_as_asRNA_for_next_TU	435
1160448	1164841	-	1161889	1162189	+	end_in_gene	300
1249341	1251415	-	1249636	1249922	+	end_in_gene	286
1325702	1327518	-	1326900	1327307	+	end_in_gene	407
1341306	1342985	-	1342605	1342947	+	end_coding_next_gene	342
1374286	1376832	-	1376554	1376884	+	end_as_asRNA_for_next_TU	330
1417415	1419782	-	1419619	1420038	+	end_as_asRNA_for_next_TU	419
1480848	1484226	-	1480856	1481357	+	end_in_gene	501
1639662	1640670	-	1639689	1640481	+	end_in_gene	792
1765399	1773839	-	1772692	1773175	+	end_in_gene	483
2180463	2181913	-	2180716	2181097	+	end_in_gene	381
2827949	2829813	-	2828234	2828927	+	end_in_gene	693
2975917	2979330	-	2977814	2978146	+	end_in_gene	332
2975917	2979330	-	2978979	2979253	+	end_in_gene	274
3601026	3602437	-	3601028	3601471	+	end_in_gene	443
3686020	3689480	-	3687689	3688041	+	end_in_gene	352
3729536	3740480	-	3730162	3730688	+	end_in_gene	526
3824036	3824814	-	3824587	3824965	+	end_in_gene	378
3994931	3997810	-	3995411	3995931	+	end_in_gene	520
4193502	4195551	-	4194787	4195061	+	end_in_gene	274
4376202	4383107	-	4377098	4377369	+	end_in_gene	271
11257	12366	-	12067	12358	+	end_coding_next_gene	291
17544	19032	-	18017	18490	+	end_in_gene	473
46481	48141	-	48098	48527	+	end_as_asRNA_for_next_TU	429
74575	75277	-	74917	75263	+	end_coding_next_gene	346
76219	79310	-	78089	78573	+	end_in_gene	484
76219	79310	-	78731	79226	+	end_as_asRNA_for_next_TU	495
102875	105212	-	103806	104600	+	end_in_gene	794
168645	170180	-	169304	169684	+	end_in_gene	380
176676	177596	-	176701	177159	+	end_in_gene	458
177211	183208	-	177732	178241	+	end_in_gene	509
177211	183208	-	179123	179484	+	end_in_gene	361
187437	188862	-	187968	188596	+	end_in_gene	628
191964	193133	-	192068	192375	+	end_in_gene	307
210825	212270	-	211015	211770	+	end_in_gene	755
224590	226569	-	224146	224603	+	end_in_gene	457
244497	247525	-	246096	246581	+	end_in_gene	485
253612	254666	-	253884	254201	+	end_in_gene	317
274914	275963	-	274927	275575	+	end_in_gene	648
293714	295712	-	293605	293949	+	end_in_gene	344
293714	295712	-	294287	294700	+	end_in_gene	413
298129	301683	-	299961	300322	+	end_in_gene	361
306359	309839	-	307933	308370	+	end_in_gene	437
317961	321350	-	320338	320673	+	end_in_gene	335
322732	323281	-	323020	323589	+	end_as_asRNA_for_next_TU	569
326259	328499	-	328443	329060	+	end_as_asRNA_for_next_TU	617
332678	333421	-	333024	333531	+	end_as_asRNA_for_next_TU	507
333431	338182	-	337235	337501	+	end_in_gene	266
366152	373788	-	370311	370696	+	end_in_gene	385
366152	373788	-	371223	371984	+	end_in_gene	761
373798	375749	-	374344	374768	+	end_in_gene	424
394723	396091	-	395305	395784	+	end_in_gene	479
399534	400050	-	399550	400050	+	end_coding_next_gene	500
403145	405887	-	405143	405852	+	end_in_gene	709
405897	408465	-	405983	406416	+	end_in_gene	433
459312	462042	-	459868	460223	+	end_in_gene	355
459312	462042	-	461302	461592	+	end_in_gene	290
474119	474844	-	474605	474844	+	end_coding_next_gene	239
510335	513215	-	511050	511437	+	end_in_gene	387
510335	513215	-	513153	513432	+	end_as_asRNA_for_next_TU	279
513225	515861	-	514819	515219	+	end_in_gene	400
522180	526089	-	522733	522989	+	end_in_gene	256
522180	526089	-	524724	525157	+	end_in_gene	433
535493	538553	-	535646	536008	+	end_in_gene	362
535493	538553	-	538342	538935	+	end_as_asRNA_for_next_TU	593
568980	569809	-	569356	569772	+	end_in_gene	416
624590	625554	-	625028	625416	+	end_in_gene	388
628301	629967	-	628768	629114	+	end_in_gene	346
633047	635927	-	635897	636599	+	end_as_asRNA_for_next_TU	702
635937	637545	-	635946	636497	+	end_in_gene	551
635937	637545	-	636748	637213	+	end_in_gene	465
637982	638919	-	638475	638856	+	end_in_gene	381
694800	695488	-	695487	696193	+	end_as_asRNA_for_next_TU	706
737269	738193	-	737746	738482	+	end_as_asRNA_for_next_TU	736
739262	742620	-	740615	741037	+	end_in_gene	422
753656	755239	-	754397	754841	+	end_in_gene	444
767333	769655	-	768234	768902	+	end_in_gene	668
819672	821479	-	819683	820158	+	end_in_gene	475
833704	834949	-	833878	834366	+	end_in_gene	488
855908	860713	-	860006	860348	+	end_in_gene	342
865867	868342	-	867456	867887	+	end_in_gene	431
914212	918779	-	914676	915239	+	end_in_gene	563
914212	918779	-	916244	916845	+	end_in_gene	601
922888	923712	-	923341	923616	+	end_in_gene	275
931610	934034	-	933885	934422	+	end_as_asRNA_for_next_TU	537
949408	951125	-	950615	950850	+	end_in_gene	235
960350	962616	-	960457	960784	+	end_in_gene	327
965804	967756	-	965963	966459	+	end_in_gene	496
976876	978764	-	978312	978830	+	end_as_asRNA_for_next_TU	518
980522	981314	-	981223	981668	+	end_as_asRNA_for_next_TU	445
981309	982557	-	981357	981679	+	end_in_gene	322
1037927	1040631	-	1039289	1039844	+	end_in_gene	555
1081698	1090235	-	1081745	1082107	+	end_in_gene	362
1095073	1096455	-	1096221	1096455	+	end_coding_next_gene	234
1107431	1108534	-	1108510	1108826	+	end_as_asRNA_for_next_TU	316
1134715	1136517	-	1136041	1136455	+	end_in_gene	414
1156436	1158742	-	1156840	1157395	+	end_in_gene	555
1160448	1164841	-	1162491	1162924	+	end_in_gene	433
1168568	1169285	-	1168944	1169285	+	end_coding_next_gene	341
1170685	1172158	-	1171131	1171414	+	end_in_gene	283
1188408	1196122	-	1195166	1195621	+	end_in_gene	455
1225275	1228689	-	1227297	1227637	+	end_in_gene	340
1229399	1231296	-	1229684	1230138	+	end_in_gene	454
1237207	1238197	-	1237531	1237797	+	end_in_gene	266
1259070	1261713	-	1261214	1261599	+	end_in_gene	385
1262193	1264133	-	1263716	1264109	+	end_in_gene	393
1298074	1300224	-	1298187	1298582	+	end_in_gene	395
1324544	1325692	-	1325660	1326069	+	end_as_asRNA_for_next_TU	409
1337231	1338519	-	1337276	1337689	+	end_in_gene	413
1372939	1374276	-	1373068	1373677	+	end_in_gene	609
1402825	1406090	-	1403866	1404318	+	end_in_gene	452
1402825	1406090	-	1404649	1405089	+	end_in_gene	440
1413956	1415871	-	1414734	1415104	+	end_in_gene	370
1417415	1419782	-	1418699	1419137	+	end_in_gene	438
1422413	1424056	-	1422878	1423309	+	end_in_gene	431
1431664	1433536	-	1432745	1433361	+	end_in_gene	616
1433546	1437143	-	1434214	1434671	+	end_in_gene	457
1488095	1490416	-	1490050	1490399	+	end_as_asRNA_for_next_TU	349
1535555	1537718	-	1537281	1537515	+	end_in_gene	234
1539456	1540727	-	1540191	1540536	+	end_in_gene	345
1572097	1574773	-	1572523	1572735	+	end_in_gene	212
1574783	1576802	-	1574793	1575271	+	end_in_gene	478
1574783	1576802	-	1576753	1577517	+	end_as_asRNA_for_next_TU	764
1630395	1634633	-	1630472	1630799	+	end_in_gene	327
1642423	1644376	-	1643691	1644000	+	end_in_gene	309
1662586	1666103	-	1664981	1665264	+	end_in_gene	283
1694894	1697428	-	1695430	1695921	+	end_in_gene	491
1694894	1697428	-	1696864	1697242	+	end_in_gene	378
1714069	1717618	-	1714961	1715423	+	end_in_gene	462
1720818	1729276	-	1723846	1724301	+	end_in_gene	455
1720818	1729276	-	1726053	1726579	+	end_in_gene	526
1720818	1729276	-	1728582	1728893	+	end_in_gene	311
1733055	1733561	-	1733167	1733529	+	end_in_gene	362
1741263	1742165	-	1741322	1741616	+	end_in_gene	294
1765399	1773839	-	1773702	1774206	+	end_as_asRNA_for_next_TU	504
1782744	1788497	-	1787856	1788171	+	end_in_gene	315
1828811	1830568	-	1830005	1830472	+	end_in_gene	467
1840600	1842315	-	1840757	1841193	+	end_in_gene	436
1862270	1865389	-	1864024	1864228	+	end_in_gene	204
1927154	1929888	-	1928081	1928545	+	end_in_gene	464
1929898	1931526	-	1931464	1932182	+	end_as_asRNA_for_next_TU	718
1960681	1965434	-	1964830	1965339	+	end_in_gene	509
1981596	1985031	-	1982737	1983506	+	end_in_gene	769
1985041	1989013	-	1985055	1985658	+	end_in_gene	603
1985041	1989013	-	1988075	1988566	+	end_in_gene	491
2015279	2017483	-	2015882	2016282	+	end_in_gene	400
2015279	2017483	-	2016296	2016656	+	end_in_gene	360
2062766	2064765	-	2062829	2063436	+	end_in_gene	607
2078719	2079813	-	2079069	2079600	+	end_in_gene	531
2080713	2087007	-	2084458	2084822	+	end_in_gene	364
2080713	2087007	-	2084933	2085502	+	end_in_gene	569
2089572	2096629	-	2091716	2092305	+	end_in_gene	589
2110601	2111369	-	2111235	2111641	+	end_as_asRNA_for_next_TU	406
2130530	2135908	-	2132267	2132642	+	end_in_gene	375
2130530	2135908	-	2134216	2134724	+	end_in_gene	508
2137417	2138134	-	2137991	2138735	+	end_as_asRNA_for_next_TU	744
2138351	2139694	-	2139176	2139634	+	end_in_gene	458
2152901	2156599	-	2153427	2153769	+	end_in_gene	342
2156609	2158089	-	2156609	2157391	+	end_in_gene	782
2162779	2171576	-	2163695	2164323	+	end_in_gene	628
2162779	2171576	-	2165904	2166309	+	end_in_gene	405
2162779	2171576	-	2166718	2167065	+	end_in_gene	347
2183886	2187166	-	2184780	2185118	+	end_in_gene	338
2183886	2187166	-	2186893	2187223	+	end_as_asRNA_for_next_TU	330
2221774	2224157	-	2223564	2224139	+	end_as_asRNA_for_next_TU	575
2225344	2226109	-	2225382	2225949	+	end_in_gene	567
2232237	2233677	-	2232687	2233086	+	end_in_gene	399
2242894	2243756	-	2243526	2244046	+	end_as_asRNA_for_next_TU	520
2267520	2270248	-	2267661	2268003	+	end_in_gene	342
2270258	2278969	-	2273235	2273588	+	end_in_gene	353
2270258	2278969	-	2274789	2275128	+	end_in_gene	339
2283730	2289254	-	2288391	2288806	+	end_in_gene	415
2291943	2307203	-	2307027	2307374	+	end_as_asRNA_for_next_TU	347
2308174	2313060	-	2311616	2312043	+	end_in_gene	427
2327519	2330971	-	2328888	2329229	+	end_in_gene	341
2353335	2356685	-	2354291	2354566	+	end_in_gene	275
2353335	2356685	-	2355968	2356735	+	end_as_asRNA_for_next_TU	767
2368783	2370865	-	2370439	2370929	+	end_in_gene	490
2374475	2376337	-	2375252	2375795	+	end_in_gene	543
2374475	2376337	-	2376092	2376334	+	end_coding_next_gene	242
2393659	2395248	-	2395074	2395513	+	end_as_asRNA_for_next_TU	439
2399811	2401735	-	2399877	2400522	+	end_in_gene	645
2406859	2409633	-	2406850	2407115	+	end_in_gene	265
2424905	2429909	-	2427191	2427545	+	end_in_gene	354
2429904	2432050	-	2430491	2430979	+	end_in_gene	488
2429904	2432050	-	2432008	2432632	+	end_as_asRNA_for_next_TU	624
2439158	2441728	-	2439284	2439694	+	end_in_gene	410
2441738	2443222	-	2442029	2442459	+	end_in_gene	430
2446065	2447577	-	2446597	2446901	+	end_in_gene	304
2455774	2456751	-	2456151	2456702	+	end_in_gene	551
2461358	2463150	-	2462385	2462724	+	end_in_gene	339
2463160	2464844	-	2463275	2463618	+	end_in_gene	343
2463160	2464844	-	2464045	2464674	+	end_in_gene	629
2468941	2469391	-	2468942	2469228	+	end_in_gene	286
2469401	2470471	-	2469413	2469795	+	end_in_gene	382
2474956	2475981	-	2475877	2476417	+	end_as_asRNA_for_next_TU	540
2479903	2481748	-	2480507	2480794	+	end_in_gene	287
2489159	2492355	-	2489982	2490299	+	end_in_gene	317
2493760	2497025	-	2496028	2496417	+	end_in_gene	389
2523193	2525365	-	2524680	2525134	+	end_in_gene	454
2529332	2529963	-	2529768	2530169	+	end_as_asRNA_for_next_TU	401
2536614	2538666	-	2538319	2538596	+	end_in_gene	277
2541410	2544631	-	2543594	2544101	+	end_in_gene	507
2577942	2579186	-	2579163	2579513	+	end_as_asRNA_for_next_TU	350
2578764	2580338	-	2580173	2580819	+	end_as_asRNA_for_next_TU	646
2585926	2587311	-	2586632	2586976	+	end_in_gene	344
2596850	2599912	-	2597979	2598211	+	end_in_gene	232
2617601	2618981	-	2618919	2619403	+	end_as_asRNA_for_next_TU	484
2622472	2623763	-	2622722	2623055	+	end_in_gene	333
2626215	2627056	-	2626581	2626803	+	end_in_gene	222
2627051	2630386	-	2628056	2628736	+	end_in_gene	680
2630381	2634180	-	2631393	2632008	+	end_in_gene	615
2642062	2643976	-	2643269	2643757	+	end_in_gene	488
2645794	2650046	-	2648918	2649196	+	end_in_gene	278
2651962	2655140	-	2654205	2654614	+	end_in_gene	409
2660339	2664812	-	2661031	2661454	+	end_in_gene	423
2664822	2675883	-	2674459	2674872	+	end_in_gene	413
2683207	2684323	-	2683239	2683564	+	end_in_gene	325
2693904	2697724	-	2694795	2695034	+	end_in_gene	239
2716516	2718842	-	2718511	2718998	+	end_as_asRNA_for_next_TU	487
2720663	2725487	-	2720780	2721163	+	end_in_gene	383
2727359	2728502	-	2728400	2728994	+	end_as_asRNA_for_next_TU	594
2737007	2740505	-	2737286	2737659	+	end_in_gene	373
2750275	2752190	-	2751223	2751609	+	end_in_gene	386
2752680	2756757	-	2754260	2754789	+	end_in_gene	529
2762400	2763823	-	2763028	2763530	+	end_in_gene	502
2763833	2765563	-	2764623	2765018	+	end_in_gene	395
2763833	2765563	-	2765517	2766283	+	end_as_asRNA_for_next_TU	766
2766859	2768160	-	2767181	2767466	+	end_in_gene	285
2771591	2772350	-	2772257	2772849	+	end_as_asRNA_for_next_TU	592
2776304	2784089	-	2782829	2783146	+	end_in_gene	317
2784696	2792600	-	2787268	2787521	+	end_in_gene	253
2792599	2794081	-	2793689	2794003	+	end_in_gene	314
2795248	2806246	-	2805923	2806168	+	end_in_gene	245
2808755	2812284	-	2810042	2810482	+	end_in_gene	440
2838177	2849508	-	2843112	2843469	+	end_in_gene	357
2838177	2849508	-	2843669	2844131	+	end_in_gene	462
2854927	2857835	-	2854929	2855524	+	end_in_gene	595
2861164	2864422	-	2861948	2862481	+	end_in_gene	533
2907760	2910222	-	2909962	2910259	+	end_as_asRNA_for_next_TU	297
2910944	2915783	-	2911739	2912093	+	end_in_gene	354
2910944	2915783	-	2914445	2914805	+	end_in_gene	360
2931598	2934096	-	2932812	2933133	+	end_in_gene	321
2936808	2943315	-	2937933	2938209	+	end_in_gene	276
2936808	2943315	-	2943145	2943597	+	end_as_asRNA_for_next_TU	452
2950506	2953040	-	2952099	2952678	+	end_in_gene	579
3003289	3005771	-	3003432	3004118	+	end_in_gene	686
3003289	3005771	-	3004730	3005102	+	end_in_gene	372
3032518	3034717	-	3032925	3033661	+	end_in_gene	736
3037325	3039830	-	3038399	3038709	+	end_in_gene	310
3047695	3051527	-	3050610	3051134	+	end_in_gene	524
3064548	3067134	-	3066792	3067234	+	end_as_asRNA_for_next_TU	442
3076465	3078605	-	3076472	3076811	+	end_in_gene	339
3083390	3086193	-	3085508	3085752	+	end_in_gene	244
3102182	3103356	-	3102337	3102614	+	end_in_gene	277
3104966	3107674	-	3106333	3106883	+	end_in_gene	550
3119363	3123700	-	3120899	3121421	+	end_in_gene	522
3126499	3133589	-	3128034	3128770	+	end_in_gene	736
3135509	3137246	-	3135536	3136042	+	end_in_gene	506
3138040	3144755	-	3139358	3139769	+	end_in_gene	411
3154651	3155881	-	3154666	3155102	+	end_in_gene	436
3155891	3162101	-	3156171	3156783	+	end_in_gene	612
3155891	3162101	-	3158967	3159518	+	end_in_gene	551
3175392	3177276	-	3176883	3177225	+	end_in_gene	342
3181921	3183021	-	3182228	3182730	+	end_in_gene	502
3196870	3200187	-	3197637	3198227	+	end_in_gene	590
3196870	3200187	-	3198690	3198901	+	end_in_gene	211
3204310	3212224	-	3210754	3211191	+	end_in_gene	437
3216588	3217782	-	3216737	3217008	+	end_in_gene	271
3221702	3223534	-	3221715	3222313	+	end_in_gene	598
3234159	3237821	-	3234446	3234888	+	end_in_gene	442
3234159	3237821	-	3236457	3236691	+	end_in_gene	234
3276237	3282900	-	3278318	3278642	+	end_in_gene	324
3276237	3282900	-	3281526	3281869	+	end_in_gene	343
3290110	3293673	-	3290268	3290684	+	end_in_gene	416
3290110	3293673	-	3291651	3292056	+	end_in_gene	405
3293683	3302584	-	3296700	3296961	+	end_in_gene	261
3293683	3302584	-	3297846	3298226	+	end_in_gene	380
3293683	3302584	-	3300284	3300608	+	end_in_gene	324
3302834	3304296	-	3303778	3304140	+	end_in_gene	362
3310505	3313079	-	3311441	3311945	+	end_in_gene	504
3318909	3324548	-	3320652	3320981	+	end_in_gene	329
3336615	3337927	-	3336572	3336954	+	end_in_gene	382
3348494	3348723	-	3348703	3349329	+	end_as_asRNA_for_next_TU	626
3352626	3355079	-	3353108	3353497	+	end_in_gene	389
3352626	3355079	-	3353718	3353987	+	end_in_gene	269
3369879	3371740	-	3370499	3370779	+	end_in_gene	280
3372491	3374630	-	3372819	3373175	+	end_in_gene	356
3372491	3374630	-	3374174	3374529	+	end_in_gene	355
3385090	3388956	-	3385712	3386281	+	end_in_gene	569
3393949	3395017	-	3393949	3394250	+	end_in_gene	301
3396482	3397202	-	3396817	3397219	+	end_as_asRNA_for_next_TU	402
3397212	3399424	-	3398169	3398474	+	end_in_gene	305
3401921	3404979	-	3403002	3403680	+	end_in_gene	678
3407813	3409429	-	3409382	3409728	+	end_as_asRNA_for_next_TU	346
3411190	3414946	-	3414380	3414686	+	end_in_gene	306
3423220	3425477	-	3423236	3423580	+	end_in_gene	344
3429583	3430247	-	3429972	3430234	+	end_coding_next_gene	262
3431845	3433623	-	3432657	3433066	+	end_in_gene	409
3461759	3462909	-	3462772	3463075	+	end_as_asRNA_for_next_TU	303
3465693	3467659	-	3465693	3466122	+	end_in_gene	429
3469275	3471373	-	3471368	3471800	+	end_as_asRNA_for_next_TU	432
3497556	3500785	-	3499969	3500325	+	end_in_gene	356
3510062	3511384	-	3510597	3510801	+	end_in_gene	204
3527392	3531135	-	3530721	3531102	+	end_in_gene	381
3548914	3549948	-	3549118	3549755	+	end_in_gene	637
3560116	3563214	-	3563019	3563297	+	end_as_asRNA_for_next_TU	278
3569038	3571208	-	3569160	3569561	+	end_in_gene	401
3569038	3571208	-	3570618	3570981	+	end_in_gene	363
3573718	3580197	-	3574203	3574750	+	end_in_gene	547
3607073	3608286	-	3607076	3607617	+	end_in_gene	541
3609743	3611186	-	3610430	3610768	+	end_in_gene	338
3621457	3627337	-	3626316	3626645	+	end_in_gene	329
3627347	3632020	-	3629716	3630114	+	end_in_gene	398
3627347	3632020	-	3631097	3631483	+	end_in_gene	386
3632030	3633581	-	3632060	3632466	+	end_in_gene	406
3635070	3638744	-	3635989	3636264	+	end_in_gene	275
3635070	3638744	-	3637858	3638275	+	end_in_gene	417
3669956	3671791	-	3670301	3670523	+	end_in_gene	222
3669956	3671791	-	3670797	3671178	+	end_in_gene	381
3682094	3686010	-	3684303	3684674	+	end_in_gene	371
3747513	3753355	-	3750007	3750589	+	end_in_gene	582
3754437	3769170	-	3755648	3755911	+	end_in_gene	263
3754437	3769170	-	3767628	3768006	+	end_in_gene	378
3775538	3777803	-	3775551	3775896	+	end_in_gene	345
3790999	3799021	-	3792481	3792953	+	end_in_gene	472
3827148	3828942	-	3828719	3829073	+	end_as_asRNA_for_next_TU	354
3837648	3839044	-	3837663	3837998	+	end_in_gene	335
3839054	3841574	-	3839496	3839853	+	end_in_gene	357
3849467	3854158	-	3851786	3852122	+	end_in_gene	336
3849467	3854158	-	3852771	3853093	+	end_in_gene	322
3854998	3857069	-	3856030	3856341	+	end_in_gene	311
3899074	3900627	-	3900071	3900593	+	end_in_gene	522
3950544	3952643	-	3950600	3950842	+	end_in_gene	242
3979687	3985645	-	3984563	3984847	+	end_in_gene	284
3999827	4001771	-	3999851	4000152	+	end_in_gene	301
4029156	4029941	-	4029153	4029499	+	end_in_gene	346
4041554	4043123	-	4042158	4042766	+	end_in_gene	608
4043133	4046358	-	4046008	4046313	+	end_in_gene	305
4053792	4056621	-	4056021	4056327	+	end_in_gene	306
4077919	4080963	-	4079922	4080266	+	end_in_gene	344
4084645	4087558	-	4086635	4086902	+	end_in_gene	267
4087597	4088882	-	4088829	4089243	+	end_as_asRNA_for_next_TU	414
4094716	4095696	-	4094834	4095171	+	end_in_gene	337
4100698	4107262	-	4102839	4103122	+	end_in_gene	283
4146245	4149183	-	4147623	4147968	+	end_in_gene	345
4155862	4156907	-	4155878	4156325	+	end_in_gene	447
4165186	4166909	-	4166566	4166971	+	end_as_asRNA_for_next_TU	405
4166919	4168459	-	4167843	4168360	+	end_in_gene	517
4180803	4181898	-	4180807	4181442	+	end_in_gene	635
4184180	4186068	-	4185203	4185510	+	end_in_gene	307
4193502	4195551	-	4193653	4194202	+	end_in_gene	549
4201514	4202066	-	4201842	4202238	+	end_as_asRNA_for_next_TU	396
4207105	4209048	-	4207851	4208204	+	end_in_gene	353
4213170	4214153	-	4213521	4213820	+	end_in_gene	299
4264625	4265707	-	4264872	4265237	+	end_in_gene	365
4264625	4265707	-	4265671	4265912	+	end_as_asRNA_for_next_TU	241
4266923	4269095	-	4267545	4267888	+	end_in_gene	343
4288213	4299793	-	4294468	4295036	+	end_in_gene	568
4288213	4299793	-	4297063	4297443	+	end_in_gene	380
4307846	4309092	-	4308503	4308935	+	end_in_gene	432
4326156	4327651	-	4326351	4326847	+	end_in_gene	496
4330145	4336446	-	4332456	4332675	+	end_in_gene	219
4357723	4362129	-	4358610	4358989	+	end_in_gene	379
4357723	4362129	-	4360194	4360528	+	end_in_gene	334
4376202	4383107	-	4381881	4382256	+	end_in_gene	375
4383117	4384236	-	4383293	4383618	+	end_in_gene	325
4387483	4388217	-	4387652	4387999	+	end_in_gene	347
4388227	4391798	-	4388351	4389141	+	end_in_gene	790
1298074	1300224	-	1299771	1300308	+	end_as_asRNA_for_next_TU	537
4112517	4116123	-	4115336	4115766	+	end_in_gene	430
4365007	4372884	-	4370262	4370593	+	end_in_gene	331
102875	105212	-	103772	104387	+	end_in_gene	615
366152	373788	-	367713	368137	+	end_in_gene	424
